"ContrastID","Contrast","ComparisonType","Class","Direction","EnrichedIn","Count","SignedCount"
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PC ether","Down","WT 100",7,-7
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PC ether","Up","WT 200",4,4
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PE","Down","WT 100",7,-7
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PE","Up","WT 200",1,1
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PE ether","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PE ether","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PG","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PG","Up","WT 200",2,2
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PI","Down","WT 100",4,-4
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PI","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PI ether","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PI ether","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PS","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PS","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PS ether","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","PS ether","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","SM","Down","WT 100",5,-5
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","SM","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","TG","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","TG","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","CE","Down","WT EtOH",1,-1
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","CE","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","Cer","Down","WT EtOH",1,-1
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","Cer","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","DG","Down","WT EtOH",2,-2
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","DG","Up","WT 200",1,1
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","LPC","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","LPC","Up","WT 200",4,4
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","LPE","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","LPE","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","Other","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","Other","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","Oxidized PC","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","Oxidized PC","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PC","Down","WT EtOH",1,-1
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PC","Up","WT 200",3,3
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PC ether","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PC ether","Up","WT 200",2,2
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PE","Down","WT EtOH",4,-4
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PE","Up","WT 200",1,1
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PE ether","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PE ether","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PG","Down","WT EtOH",1,-1
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PG","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PI","Down","WT EtOH",7,-7
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PI","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PI ether","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PI ether","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PS","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PS","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PS ether","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","PS ether","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","SM","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","SM","Up","WT 200",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","TG","Down","WT EtOH",0,0
"Control_200_vs_Control_Veh","WT 200 vs WT EtOH","Within genotype","TG","Up","WT 200",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","CE","Down","WT 100",1,-1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","CE","Up","RDH12 100",1,1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","Cer","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","Cer","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","DG","Down","WT 100",5,-5
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","DG","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","LPC","Down","WT 100",2,-2
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","LPC","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","LPE","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","LPE","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","Other","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","Other","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","Oxidized PC","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","Oxidized PC","Up","RDH12 100",1,1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PC","Down","WT 100",5,-5
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PC","Up","RDH12 100",8,8
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PC ether","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PC ether","Up","RDH12 100",14,14
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PE","Down","WT 100",1,-1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PE","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PE ether","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PE ether","Up","RDH12 100",0,0
