"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BTBD9",-2.82,0.328692590882461,-2.8,0.33,"-2.8","0.33","NS",NA
"BTN2A3P",4.13,0.122621789262607,4.1,0.12,"4.1","0.12","NS",NA
"C1orf159",3.59,0.0179308076865576,3.6,0.02,"3.6","0.02","NS",NA
"C1orf198",-1.48,0.00051541299437775,-1.5,0,"-1.5","<0.01","Down",NA
"C2CD2L",0.491,0.337628862173698,0.5,0.34,"0.5","0.34","NS",NA
"C4A",0.365,0.854945066710673,0.4,0.85,"0.4","0.85","NS",NA
"C4BPA",4,0.00206132315086879,4,0,"4.0","<0.01","Up",NA
"C6orf89",-0.0358,0.956684126627524,0,0.96,"-0.0","0.96","NS",NA
"C8orf88",-5.36,0.00321100686194955,-5.4,0,"-5.4","<0.01","Down",NA
"C9orf72",1.77,0.565827199009731,1.8,0.57,"1.8","0.57","NS",NA
"CABIN1",0.503,0.192356635674889,0.5,0.19,"0.5","0.19","NS",NA
"CALCOCO2",-0.398,0.37945934617529,-0.4,0.38,"-0.4","0.38","NS",NA
"CAMKK1",-1.33,0.000552957326188855,-1.3,0,"-1.3","<0.01","Down",NA
"CARMIL2",-1.5,0.00491049773942391,-1.5,0,"-1.5","<0.01","Down",NA
"CASTOR2",0.815,0.214221289061193,0.8,0.21,"0.8","0.21","NS",NA
"CBY1",-1.71,0.00167036042886981,-1.7,0,"-1.7","<0.01","Down",NA
"CCDC106",0.02,0.966907855084698,0,0.97,"0.0","0.97","NS",NA
"CCDC120",-5.41,0.000390623499292668,-5.4,0,"-5.4","<0.01","Down",NA
"CCDC138",-1.4,0.528882951733001,-1.4,0.53,"-1.4","0.53","NS",NA
"CCDC158",0.132,0.88096058744953,0.1,0.88,"0.1","0.88","NS",NA
"CCDC18",-4.05,3.53293617000797e-07,-4,0,"-4.0","<0.01","Down",NA
"CCDC186",-1.18,0.000258939449795215,-1.2,0,"-1.2","<0.01","Down",NA
"CCDC28B",-3.36,3.34003412622038e-07,-3.4,0,"-3.4","<0.01","Down",NA
"CCDC66",-2.45,0.00516353404846712,-2.5,0.01,"-2.5","<0.01","Down",NA
"CCDC82",0.471,0.886479581472699,0.5,0.89,"0.5","0.89","NS",NA
"CCK",0.0521,0.961563169751434,0.1,0.96,"0.1","0.96","NS",NA
"CCN1",1.25,0.226419066705353,1.2,0.23,"1.2","0.23","NS","CCN1"
"CCN2",3.78,0.0278156667463546,3.8,0.03,"3.8","0.03","NS",NA
"CCNQ",1.69,0.391214235400672,1.7,0.39,"1.7","0.39","NS",NA
"CCPG1",-0.18,0.714629415624349,-0.2,0.71,"-0.2","0.71","NS",NA
"CD151",-0.471,0.303982663351552,-0.5,0.3,"-0.5","0.30","NS",NA
"CD40",4.91,0.0174340529561776,4.9,0.02,"4.9","0.02","NS",NA
"CD81",-0.977,0.0349931323252526,-1,0.03,"-1.0","0.03","NS",NA
"CD84",2.19,0.25747515165815,2.2,0.26,"2.2","0.26","NS",NA
"CD99",-0.722,0.813449181586431,-0.7,0.81,"-0.7","0.81","NS",NA
"CDC42EP1",-0.954,0.0151895388839293,-1,0.02,"-1.0","0.02","NS",NA
"CDCA7L",-0.803,0.00742725647810527,-0.8,0.01,"-0.8","<0.01","NS",NA
