"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ANXA3",0.0616,0.967,0.1,0.97,"0.1","0.97","NS",NA
"ANXA4",-0.0782,0.966,-0.1,0.97,"-0.1","0.97","NS",NA
"ANXA6",0.604,0.898,0.6,0.9,"0.6","0.90","NS",NA
"AP3S2",-2.64,0.906,-2.6,0.91,"-2.6","0.91","NS",NA
"AP4B1",1.15,0.907,1.1,0.91,"1.1","0.91","NS",NA
"APLP1",-8.85,0.00293,-8.8,0,"-8.8","<0.01","Down",NA
"APLP2",-4.08,0.00601,-4.1,0.01,"-4.1","<0.01","Down",NA
"APMAP",0.509,0.917,0.5,0.92,"0.5","0.92","NS",NA
"APOA1",-3.31,0.0725,-3.3,0.07,"-3.3","0.07","NS",NA
"APOC3",-3.12,0.797,-3.1,0.8,"-3.1","0.80","NS",NA
"APOE",-3.32,0.0809,-3.3,0.08,"-3.3","0.08","NS",NA
"APOH",-7.25,0.356,-7.2,0.36,"-7.2","0.36","NS",NA
"APOOL",0.475,0.941,0.5,0.94,"0.5","0.94","NS",NA
"APP",-3.77,0.00417,-3.8,0,"-3.8","<0.01","Down",NA
"ARB2A",3.87,0.128,3.9,0.13,"3.9","0.13","NS",NA
"ARF1",-3.67,0.583,-3.7,0.58,"-3.7","0.58","NS",NA
"ARF3",-13.2,0.196,-13.2,0.2,"-13.2","0.20","NS",NA
"ARF4",-2,0.684,-2,0.68,"-2.0","0.68","NS",NA
"ARF5",-2.33,0.64,-2.3,0.64,"-2.3","0.64","NS",NA
"ARFGAP3",0.83,0.781,0.8,0.78,"0.8","0.78","NS",NA
"ARHGAP11A",3.49,0.811,3.5,0.81,"3.5","0.81","NS",NA
"ARHGEF26",1.64,0.9,1.6,0.9,"1.6","0.90","NS",NA
"ARK2N",-2.49,0.194,-2.5,0.19,"-2.5","0.19","NS",NA
"ARL10",1.53,0.714,1.5,0.71,"1.5","0.71","NS",NA
"ARL2",-1.92,0.742,-1.9,0.74,"-1.9","0.74","NS",NA
"ARL3",-2.2,0.805,-2.2,0.8,"-2.2","0.80","NS",NA
"ARL5B",-9.45,0.329,-9.4,0.33,"-9.4","0.33","NS",NA
"ARL6IP1",0.511,0.958,0.5,0.96,"0.5","0.96","NS",NA
"ARL6IP6",4.04,0.342,4,0.34,"4.0","0.34","NS",NA
"ARPC5L",-0.823,0.885,-0.8,0.88,"-0.8","0.88","NS",NA
"ARPP19",-0.781,0.953,-0.8,0.95,"-0.8","0.95","NS",NA
"ARRB1",-0.378,0.942,-0.4,0.94,"-0.4","0.94","NS",NA
"ARRDC3",-0.406,0.967,-0.4,0.97,"-0.4","0.97","NS",NA
"ART5",0.196,0.965,0.2,0.96,"0.2","0.96","NS",NA
"ARVCF",2.06,0.377,2.1,0.38,"2.1","0.38","NS",NA
"ASDURF",-0.519,0.954,-0.5,0.95,"-0.5","0.95","NS",NA
"ASF1A",-1.39,0.79,-1.4,0.79,"-1.4","0.79","NS",NA
"ASH1L",4.19,0.077,4.2,0.08,"4.2","0.08","NS",NA
