"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",1.55,0.00838356432755927,1.6,0.01,"1.6","<0.01","Up",NA
"ABCB10",0.703,0.0317249178455905,0.7,0.03,"0.7","0.03","NS",NA
"ABCB6",-0.785,0.466252068497559,-0.8,0.47,"-0.8","0.47","NS",NA
"ABHD5",-1.62,0.118123545346694,-1.6,0.12,"-1.6","0.12","NS",NA
"ACE2",1.54,0.444461912610651,1.5,0.44,"1.5","0.44","NS",NA
"ACOT13",-0.44,0.0566141484235914,-0.4,0.06,"-0.4","0.06","NS",NA
"ACTMAP",3.53,5.99423515740928e-10,3.5,0,"3.5","<0.01","Up",NA
"ADAM9",-0.41,0.143941184229753,-0.4,0.14,"-0.4","0.14","NS",NA
"ADAMTS1",0.151,0.449342036023454,0.2,0.45,"0.2","0.45","NS",NA
"ADD1",0.403,0.01503988421819,0.4,0.02,"0.4","0.02","NS",NA
"ADGRG6",-0.793,0.511857657997522,-0.8,0.51,"-0.8","0.51","NS",NA
"AGA",-1.57,0.0115217192017275,-1.6,0.01,"-1.6","0.01","NS",NA
"AHDC1",-0.126,0.619873587032996,-0.1,0.62,"-0.1","0.62","NS",NA
"AIFM2",-2.17,0.0688992859627632,-2.2,0.07,"-2.2","0.07","NS",NA
"AIRIM",-1.15,0.028072896547081,-1.1,0.03,"-1.1","0.03","NS",NA
"AKAP7",-2.44,0.198760716974551,-2.4,0.2,"-2.4","0.20","NS",NA
"AKIRIN2",-1.81,0.000431460986843938,-1.8,0,"-1.8","<0.01","Down",NA
"ALDH18A1",1.15,0.010917236547111,1.1,0.01,"1.1","0.01","NS",NA
"ALDH1L2",0.0383,0.856168892407479,0,0.86,"0.0","0.86","NS",NA
"ALG1",2.9,5.58832834749735e-07,2.9,0,"2.9","<0.01","Up","ALG1"
"ALKBH8",2.44,0.211568734723379,2.4,0.21,"2.4","0.21","NS",NA
"AMFR",0.352,0.0756185696493408,0.4,0.08,"0.4","0.08","NS",NA
"AMMECR1",5.46,1.56974567018249e-05,5.5,0,"5.5","<0.01","Up",NA
"AMOT",-0.62,0.046914836850405,-0.6,0.05,"-0.6","0.05","NS",NA
"AMOTL1",-0.254,0.335238987648548,-0.3,0.34,"-0.3","0.34","NS",NA
