"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",2.86,0.000859098062243673,2.9,0,"2.9","<0.01","Up",NA
"ABCB10",1.08,0.0330128969413858,1.1,0.03,"1.1","0.03","NS",NA
"ABCB6",-0.364,0.934400358739527,-0.4,0.93,"-0.4","0.93","NS",NA
"ABHD5",-0.163,0.973610114140054,-0.2,0.97,"-0.2","0.97","NS",NA
"ACE2",-3.75,0.297380687776136,-3.8,0.3,"-3.8","0.30","NS",NA
"ACOT13",0.235,0.666005778902418,0.2,0.67,"0.2","0.67","NS",NA
"ACTMAP",-0.227,0.751295914018674,-0.2,0.75,"-0.2","0.75","NS",NA
"ADAM9",0.186,0.829819134654551,0.2,0.83,"0.2","0.83","NS",NA
"ADAMTS1",0.744,0.0179319703783237,0.7,0.02,"0.7","0.02","NS",NA
"ADD1",0.16,0.673400561994236,0.2,0.67,"0.2","0.67","NS",NA
"ADGRG6",5.61,0.00251321620444278,5.6,0,"5.6","<0.01","Up",NA
"AGA",0.311,0.881747383109986,0.3,0.88,"0.3","0.88","NS",NA
"AHDC1",0.19,0.789496742443281,0.2,0.79,"0.2","0.79","NS",NA
"AIFM2",3.89,0.0397886642860957,3.9,0.04,"3.9","0.04","NS",NA
"AIRIM",-0.165,0.93846108012768,-0.2,0.94,"-0.2","0.94","NS",NA
"AKAP7",4.39,0.193578019677968,4.4,0.19,"4.4","0.19","NS",NA
"AKIRIN2",0.378,0.708590534031001,0.4,0.71,"0.4","0.71","NS",NA
"ALDH18A1",1.36,0.045996495502121,1.4,0.05,"1.4","0.05","NS",NA
"ALDH1L2",1.17,0.000219713762634859,1.2,0,"1.2","<0.01","Up",NA
"ALG1",0.57,0.407050512091648,0.6,0.41,"0.6","0.41","NS","ALG1"
"ALKBH8",1.81,0.718518188646771,1.8,0.72,"1.8","0.72","NS",NA
"AMFR",0.946,0.00197623030929098,0.9,0,"0.9","<0.01","NS",NA
"AMMECR1",0.255,0.945327158794472,0.3,0.95,"0.3","0.95","NS",NA
"AMOT",0.542,0.330680991973455,0.5,0.33,"0.5","0.33","NS",NA
"AMOTL1",0.747,0.0889750060982231,0.7,0.09,"0.7","0.09","NS",NA
"ANAPC16",0.345,0.567720185607925,0.3,0.57,"0.3","0.57","NS",NA
"ANAPC4",0.0192,0.986219993288586,0,0.99,"0.0","0.99","NS",NA
"ANGEL1",0.63,0.787027355900361,0.6,0.79,"0.6","0.79","NS",NA
"ANKLE2",0.939,0.0104672763949262,0.9,0.01,"0.9","0.01","NS",NA
"ANXA4",0.127,0.810450793057232,0.1,0.81,"0.1","0.81","NS",NA
"APLP1",-6.41,0.000633603940061488,-6.4,0,"-6.4","<0.01","Down",NA
"APLP2",-0.0124,0.992872389817684,0,0.99,"-0.0","0.99","NS",NA
"APOA1",-0.633,0.329915710717427,-0.6,0.33,"-0.6","0.33","NS",NA
"APOC3",0.303,0.908422424266517,0.3,0.91,"0.3","0.91","NS",NA
"APOE",-0.0637,0.970703942887583,-0.1,0.97,"-0.1","0.97","NS",NA
"APOH",-6.26,2.66124159666406e-05,-6.3,0,"-6.3","<0.01","Down",NA
"APP",-0.123,0.92397696099269,-0.1,0.92,"-0.1","0.92","NS",NA
"ARB2A",0.121,0.933344925791727,0.1,0.93,"0.1","0.93","NS",NA
"ARF3",-9.26,0.000862531139653993,-9.3,0,"-9.3","<0.01","Down",NA
"ARL5B",-5.17,0.00851581195834453,-5.2,0.01,"-5.2","<0.01","Down",NA
"ARL6IP1",0.702,0.445849040150427,0.7,0.45,"0.7","0.45","NS",NA
"ARMC7",-0.113,0.969751345573636,-0.1,0.97,"-0.1","0.97","NS",NA
"ART5",0.546,0.252288786133918,0.5,0.25,"0.5","0.25","NS",NA
"ASPRV1",0.681,0.9044016623597,0.7,0.9,"0.7","0.90","NS",NA
"ATAD5",0.713,0.0336796976964384,0.7,0.03,"0.7","0.03","NS",NA
"ATF3",-0.17,0.915239706147334,-0.2,0.92,"-0.2","0.92","NS",NA
"ATF4",-0.00403,0.998782632667335,0,1,"-0.0","1.00","NS",NA
"ATP5MK",0.762,0.0799082030914309,0.8,0.08,"0.8","0.08","NS",NA
"ATP6V0D2",-5.53,1.01357196456288e-05,-5.5,0,"-5.5","<0.01","Down",NA
"ATP6V1D",-0.435,0.114388242702392,-0.4,0.11,"-0.4","0.11","NS",NA
"ATR",0.208,0.911342974514017,0.2,0.91,"0.2","0.91","NS",NA
"B3GALNT2",0.101,0.988234521568612,0.1,0.99,"0.1","0.99","NS",NA
"B4GALT5",-0.246,0.844832680529765,-0.2,0.84,"-0.2","0.84","NS",NA
"B4GALT6",-0.312,0.906802224629755,-0.3,0.91,"-0.3","0.91","NS",NA
"B9D1",-0.305,0.898257194456648,-0.3,0.9,"-0.3","0.90","NS",NA
"BACE1",-5.14,5.5443252807533e-05,-5.1,0,"-5.1","<0.01","Down",NA
"BCL2L12",1.35,0.264138085081352,1.4,0.26,"1.4","0.26","NS",NA
"BCOR",0.623,0.0859085008192595,0.6,0.09,"0.6","0.09","NS",NA
"BIRC2",-0.11,0.950634571159031,-0.1,0.95,"-0.1","0.95","NS",NA
"BLM",0.195,0.627880498603804,0.2,0.63,"0.2","0.63","NS",NA
"BLOC1S4",0.0837,0.945327158794472,0.1,0.95,"0.1","0.95","NS",NA
"BMP2",3.21,0.243142546341326,3.2,0.24,"3.2","0.24","NS",NA
"BMP4",-6.03,0.000123467741454113,-6,0,"-6.0","<0.01","Down",NA
"BMPR2",-5.01,0.0246350410979025,-5,0.02,"-5.0","0.02","NS",NA
"BNIP3",4.28,0.0186276159458352,4.3,0.02,"4.3","0.02","NS",NA
"BOD1",0.399,0.799681343027571,0.4,0.8,"0.4","0.80","NS",NA
"BORCS6",0.657,0.193578019677968,0.7,0.19,"0.7","0.19","NS",NA
