"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"AAMP",-0.0722,0.897,-0.1,0.9,"-0.1","0.90","NS",NA
"ABCA3",0.106,0.906,0.1,0.91,"0.1","0.91","NS",NA
"ABCB1",0.263,0.801,0.3,0.8,"0.3","0.80","NS",NA
"ABCB10",-0.27,0.803,-0.3,0.8,"-0.3","0.80","NS",NA
"ABCB6",-0.32,0.896,-0.3,0.9,"-0.3","0.90","NS",NA
"ABCC10",-0.209,0.845,-0.2,0.84,"-0.2","0.84","NS",NA
"ABHD16A",0.116,0.904,0.1,0.9,"0.1","0.90","NS",NA
"ABHD5",2.35,0.0599,2.4,0.06,"2.4","0.06","NS",NA
"ABLIM2",2.23,1.13e-08,2.2,0,"2.2","<0.01","Up",NA
"ABR",-0.0107,0.924,0,0.92,"-0.0","0.92","NS",NA
"ABRACL",-0.211,0.856,-0.2,0.86,"-0.2","0.86","NS",NA
"ACAD9",-0.392,0.414,-0.4,0.41,"-0.4","0.41","NS",NA
"ACAP2",0.0578,0.918,0.1,0.92,"0.1","0.92","NS",NA
"ACAT2",-0.116,0.906,-0.1,0.91,"-0.1","0.91","NS",NA
"ACE2",0.0986,0.921,0.1,0.92,"0.1","0.92","NS",NA
"ACOT13",-0.0284,0.915,0,0.92,"-0.0","0.92","NS",NA
"ACOT8",-0.323,0.131,-0.3,0.13,"-0.3","0.13","NS",NA
"ACOT9",-0.291,0.728,-0.3,0.73,"-0.3","0.73","NS",NA
"ACOX3",-0.276,0.871,-0.3,0.87,"-0.3","0.87","NS",NA
"ACP1",0.23,0.757,0.2,0.76,"0.2","0.76","NS",NA
"ACSS3",-0.119,0.906,-0.1,0.91,"-0.1","0.91","NS",NA
"ACTMAP",0.261,0.771,0.3,0.77,"0.3","0.77","NS",NA
"ACVR2A",-0.711,0.836,-0.7,0.84,"-0.7","0.84","NS",NA
"ACVR2B",0.406,0.825,0.4,0.82,"0.4","0.82","NS",NA
"ACYP1",0.458,0.653,0.5,0.65,"0.5","0.65","NS",NA
"ADAM9",-0.954,0.000288,-1,0,"-1.0","<0.01","Down",NA
"ADAMTS1",0.14,0.811,0.1,0.81,"0.1","0.81","NS",NA
"ADD1",0.0703,0.872,0.1,0.87,"0.1","0.87","NS",NA
"ADGRG6",-0.0635,0.92,-0.1,0.92,"-0.1","0.92","NS",NA
"ADI1",0.0933,0.908,0.1,0.91,"0.1","0.91","NS",NA
"ADIPOR1",1.03,0.705,1,0.7,"1.0","0.70","NS",NA
"ADISSP",0.0221,0.919,0,0.92,"0.0","0.92","NS",NA
"ADO",0.342,0.73,0.3,0.73,"0.3","0.73","NS",NA
"AFF3",0.00127,0.925,0,0.92,"0.0","0.92","NS",NA
"AGA",2.43,7.65e-06,2.4,0,"2.4","<0.01","Up",NA
"AGAP1",-0.0892,0.887,-0.1,0.89,"-0.1","0.89","NS",NA
"AGPAT3",-0.235,0.901,-0.2,0.9,"-0.2","0.90","NS",NA
"AGPAT5",1.12,0.825,1.1,0.82,"1.1","0.82","NS",NA
"AGR2",-0.016,0.924,0,0.92,"-0.0","0.92","NS",NA
"AHDC1",0.0818,0.888,0.1,0.89,"0.1","0.89","NS",NA
"AIDA",-0.0225,0.92,0,0.92,"-0.0","0.92","NS",NA
"AIFM2",0.196,0.909,0.2,0.91,"0.2","0.91","NS",NA
"AIG1",-0.278,0.847,-0.3,0.85,"-0.3","0.85","NS",NA
"AIP",0.18,0.758,0.2,0.76,"0.2","0.76","NS",NA
"AIRIM",0.327,0.712,0.3,0.71,"0.3","0.71","NS",NA
"AK1",0.378,0.091,0.4,0.09,"0.4","0.09","NS",NA
"AKAP7",1.11,0.845,1.1,0.84,"1.1","0.84","NS",NA
"AKIRIN2",0.611,0.369,0.6,0.37,"0.6","0.37","NS",NA
"AKR1A1",0.00251,0.924,0,0.92,"0.0","0.92","NS",NA
"AKR1B1",-0.427,0.812,-0.4,0.81,"-0.4","0.81","NS",NA
"ALDH18A1",-0.511,0.568,-0.5,0.57,"-0.5","0.57","NS",NA
"ALDH1A1",-0.337,0.895,-0.3,0.9,"-0.3","0.90","NS",NA
"ALDH1L2",-0.221,0.624,-0.2,0.62,"-0.2","0.62","NS",NA
"ALG1",-0.664,0.4,-0.7,0.4,"-0.7","0.40","NS",NA
"ALG2",-0.206,0.883,-0.2,0.88,"-0.2","0.88","NS",NA
"ALG3",-0.588,0.363,-0.6,0.36,"-0.6","0.36","NS",NA
"ALG8",-0.558,0.312,-0.6,0.31,"-0.6","0.31","NS",NA
"ALG9",-0.211,0.884,-0.2,0.88,"-0.2","0.88","NS",NA
"ALKBH2",0.196,0.879,0.2,0.88,"0.2","0.88","NS",NA
"ALKBH3",0.653,0.468,0.7,0.47,"0.7","0.47","NS",NA
"ALKBH4",-0.0119,0.922,0,0.92,"-0.0","0.92","NS",NA
"ALKBH5",0.367,0.753,0.4,0.75,"0.4","0.75","NS",NA
"ALKBH6",0.334,0.783,0.3,0.78,"0.3","0.78","NS",NA
"ALKBH8",0.616,0.889,0.6,0.89,"0.6","0.89","NS",NA
