"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ANAPC16",-0.16,0.961,-0.2,0.96,"-0.2","0.96","NS",NA
"ANAPC4",0.258,0.943,0.3,0.94,"0.3","0.94","NS",NA
"ANAPC7",0.0929,0.956,0.1,0.96,"0.1","0.96","NS",NA
"ANKLE2",-0.0607,0.962,-0.1,0.96,"-0.1","0.96","NS",NA
"ANKRD26",-0.135,0.963,-0.1,0.96,"-0.1","0.96","NS",NA
"ANKRD27",-0.0158,0.971,0,0.97,"-0.0","0.97","NS",NA
"ANKRD50",-0.22,0.938,-0.2,0.94,"-0.2","0.94","NS",NA
"ANKRD52",0.211,0.939,0.2,0.94,"0.2","0.94","NS",NA
"ANKRD54",-0.53,0.631,-0.5,0.63,"-0.5","0.63","NS",NA
"ANO10",0.253,0.947,0.3,0.95,"0.3","0.95","NS",NA
"ANP32B",-0.114,0.956,-0.1,0.96,"-0.1","0.96","NS",NA
"ANXA3",0.1,0.946,0.1,0.95,"0.1","0.95","NS",NA
"ANXA4",0.185,0.843,0.2,0.84,"0.2","0.84","NS",NA
"ANXA6",0.0572,0.96,0.1,0.96,"0.1","0.96","NS",NA
"AP3S2",0.0717,0.97,0.1,0.97,"0.1","0.97","NS",NA
"AP4B1",0.0124,0.972,0,0.97,"0.0","0.97","NS",NA
"APLP1",-5.99,5.28e-14,-6,0,"-6.0","<0.01","Down","APLP1"
"APLP2",-0.543,0.545,-0.5,0.54,"-0.5","0.54","NS",NA
"APMAP",0.0685,0.956,0.1,0.96,"0.1","0.96","NS",NA
"APOA1",-0.759,0.113,-0.8,0.11,"-0.8","0.11","NS",NA
"APOC3",-3.61,5.72e-10,-3.6,0,"-3.6","<0.01","Down",NA
"APOE",-0.434,0.775,-0.4,0.78,"-0.4","0.78","NS",NA
"APOH",-4.65,9.69e-08,-4.7,0,"-4.7","<0.01","Down",NA
"APOOL",0.489,0.197,0.5,0.2,"0.5","0.20","NS",NA
"APP",-0.5,0.519,-0.5,0.52,"-0.5","0.52","NS",NA
"ARB2A",0.165,0.956,0.2,0.96,"0.2","0.96","NS",NA
"ARF1",-0.826,0.734,-0.8,0.73,"-0.8","0.73","NS",NA
"ARF3",-10.4,5.28e-14,-10.4,0,"-10.4","<0.01","Down","ARF3"
"ARF4",-0.238,0.934,-0.2,0.93,"-0.2","0.93","NS",NA
"ARF5",-0.378,0.89,-0.4,0.89,"-0.4","0.89","NS",NA
"ARFGAP3",-0.204,0.819,-0.2,0.82,"-0.2","0.82","NS",NA
"ARHGAP11A",0.00645,0.972,0,0.97,"0.0","0.97","NS",NA
"ARHGEF26",0.147,0.962,0.1,0.96,"0.1","0.96","NS",NA
"ARK2N",-0.527,0.397,-0.5,0.4,"-0.5","0.40","NS",NA
"ARL10",0.202,0.928,0.2,0.93,"0.2","0.93","NS",NA
"ARL2",-0.472,0.789,-0.5,0.79,"-0.5","0.79","NS",NA
"ARL3",-0.687,0.696,-0.7,0.7,"-0.7","0.70","NS",NA
"ARL5B",-5.35,2.44e-06,-5.3,0,"-5.3","<0.01","Down",NA
"ARL6IP1",-0.23,0.949,-0.2,0.95,"-0.2","0.95","NS",NA
"ARL6IP6",-0.0937,0.967,-0.1,0.97,"-0.1","0.97","NS",NA
"ARPC5L",-0.204,0.901,-0.2,0.9,"-0.2","0.90","NS",NA
"ARPP19",-0.445,0.91,-0.4,0.91,"-0.4","0.91","NS",NA
"ARRB1",-0.0695,0.957,-0.1,0.96,"-0.1","0.96","NS",NA
"ARRDC3",-0.422,0.957,-0.4,0.96,"-0.4","0.96","NS",NA
"ART5",-0.133,0.956,-0.1,0.96,"-0.1","0.96","NS",NA
"ARVCF",0.092,0.96,0.1,0.96,"0.1","0.96","NS",NA
"ASDURF",-0.368,0.873,-0.4,0.87,"-0.4","0.87","NS",NA
"ASF1A",-0.644,0.159,-0.6,0.16,"-0.6","0.16","NS",NA
"ASH1L",-0.259,0.938,-0.3,0.94,"-0.3","0.94","NS",NA
"ASPRV1",5.56,0.000124,5.6,0,"5.6","<0.01","Up",NA
"ASRGL1",-0.399,0.9,-0.4,0.9,"-0.4","0.90","NS",NA
"ATAD5",-0.0206,0.969,0,0.97,"-0.0","0.97","NS",NA
"ATF2",-0.632,0.19,-0.6,0.19,"-0.6","0.19","NS",NA
"ATF3",0.85,0.128,0.8,0.13,"0.8","0.13","NS",NA
"ATF4",1.45,0.0153,1.4,0.02,"1.4","0.02","Up",NA
"ATF6",-0.281,0.86,-0.3,0.86,"-0.3","0.86","NS",NA
"ATP11C",0.11,0.967,0.1,0.97,"0.1","0.97","NS",NA
"ATP13A1",0.435,0.903,0.4,0.9,"0.4","0.90","NS",NA
"ATP1B1",-0.096,0.953,-0.1,0.95,"-0.1","0.95","NS",NA
"ATP2A2",0.27,0.892,0.3,0.89,"0.3","0.89","NS",NA
"ATP5F1A",0.396,0.732,0.4,0.73,"0.4","0.73","NS",NA
"ATP5F1B",0.18,0.905,0.2,0.9,"0.2","0.90","NS",NA
"ATP5F1C",0.337,0.845,0.3,0.84,"0.3","0.84","NS",NA
"ATP5MG",0.226,0.884,0.2,0.88,"0.2","0.88","NS",NA
"ATP5MK",-0.433,0.443,-0.4,0.44,"-0.4","0.44","NS",NA
"ATP5PO",0.0878,0.945,0.1,0.94,"0.1","0.94","NS",NA
"ATP6V0A1",0.113,0.957,0.1,0.96,"0.1","0.96","NS",NA
"ATP6V0A2",0.292,0.817,0.3,0.82,"0.3","0.82","NS",NA
"ATP6V0D2",-0.0223,0.971,0,0.97,"-0.0","0.97","NS",NA
"ATP6V1D",-0.264,0.477,-0.3,0.48,"-0.3","0.48","NS",NA
"ATP7A",0.202,0.96,0.2,0.96,"0.2","0.96","NS",NA
"ATP9A",0.342,0.955,0.3,0.96,"0.3","0.96","NS",NA
"ATR",0.139,0.962,0.1,0.96,"0.1","0.96","NS",NA
"ATXN2L",-0.346,0.794,-0.3,0.79,"-0.3","0.79","NS",NA
"ATXN7",-0.107,0.968,-0.1,0.97,"-0.1","0.97","NS",NA
"ATXN7L3B",-0.0936,0.954,-0.1,0.95,"-0.1","0.95","NS",NA
"B3GALNT2",5.08,4.1e-06,5.1,0,"5.1","<0.01","Up",NA
"B4GALT5",-0.653,0.422,-0.7,0.42,"-0.7","0.42","NS",NA
"B4GALT6",-0.000647,0.972,0,0.97,"-0.0","0.97","NS",NA
"B4GALT7",0.327,0.832,0.3,0.83,"0.3","0.83","NS",NA
"B9D1",0.253,0.952,0.3,0.95,"0.3","0.95","NS",NA
"BACE1",-7.06,5.28e-14,-7.1,0,"-7.1","<0.01","Down","BACE1"
"BACH2",0.161,0.958,0.2,0.96,"0.2","0.96","NS",NA
"BAD",-0.294,0.931,-0.3,0.93,"-0.3","0.93","NS",NA
"BAG1",0.0394,0.967,0,0.97,"0.0","0.97","NS",NA
