"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ANKRD54",-0.26,0.607,-0.3,0.61,"-0.3","0.61","NS",NA
"ANO10",0.0228,0.902,0,0.9,"0.0","0.90","NS",NA
"ANP32B",0.105,0.831,0.1,0.83,"0.1","0.83","NS",NA
"ANXA3",-0.0935,0.777,-0.1,0.78,"-0.1","0.78","NS",NA
"ANXA4",-0.00892,0.901,0,0.9,"-0.0","0.90","NS",NA
"ANXA6",-0.0933,0.768,-0.1,0.77,"-0.1","0.77","NS",NA
"AP3S2",3.16,1.75e-10,3.2,0,"3.2","<0.01","Up",NA
"AP4B1",0.125,0.837,0.1,0.84,"0.1","0.84","NS",NA
"APLP1",-0.124,0.878,-0.1,0.88,"-0.1","0.88","NS",NA
"APLP2",-0.239,0.628,-0.2,0.63,"-0.2","0.63","NS",NA
"APMAP",-0.0122,0.899,0,0.9,"-0.0","0.90","NS",NA
"APOA1",0.171,0.765,0.2,0.76,"0.2","0.76","NS",NA
"APOC3",-3.34,2.67e-14,-3.3,0,"-3.3","<0.01","Down","APOC3"
"APOE",-0.151,0.797,-0.2,0.8,"-0.2","0.80","NS",NA
"APOH",-0.389,0.817,-0.4,0.82,"-0.4","0.82","NS",NA
"APOOL",-0.189,0.548,-0.2,0.55,"-0.2","0.55","NS",NA
"APP",-0.289,0.406,-0.3,0.41,"-0.3","0.41","NS",NA
"ARB2A",0.0803,0.876,0.1,0.88,"0.1","0.88","NS",NA
"ARF1",-0.0748,0.89,-0.1,0.89,"-0.1","0.89","NS",NA
"ARF3",0.311,0.874,0.3,0.87,"0.3","0.87","NS",NA
"ARF4",0.0315,0.896,0,0.9,"0.0","0.90","NS",NA
"ARF5",0.039,0.894,0,0.89,"0.0","0.89","NS",NA
"ARFGAP3",0.164,0.423,0.2,0.42,"0.2","0.42","NS",NA
"ARHGAP11A",-0.207,0.858,-0.2,0.86,"-0.2","0.86","NS",NA
"ARHGEF26",0.041,0.897,0,0.9,"0.0","0.90","NS",NA
"ARK2N",-0.0541,0.877,-0.1,0.88,"-0.1","0.88","NS",NA
"ARL10",0.0611,0.872,0.1,0.87,"0.1","0.87","NS",NA
"ARL2",0.135,0.831,0.1,0.83,"0.1","0.83","NS",NA
"ARL3",-0.299,0.703,-0.3,0.7,"-0.3","0.70","NS",NA
"ARL5B",7.65,2.67e-14,7.7,0,"7.7","<0.01","Up",NA
"ARL6IP1",-1.06,0.000609,-1.1,0,"-1.1","<0.01","Down",NA
"ARL6IP6",-0.0166,0.904,0,0.9,"-0.0","0.90","NS",NA
"ARPC5L",-0.139,0.72,-0.1,0.72,"-0.1","0.72","NS",NA
"ARPP19",-0.304,0.737,-0.3,0.74,"-0.3","0.74","NS",NA
"ARRB1",0.0718,0.822,0.1,0.82,"0.1","0.82","NS",NA
"ARRDC3",-0.789,0.659,-0.8,0.66,"-0.8","0.66","NS",NA
"ART5",-4.03,2.67e-14,-4,0,"-4.0","<0.01","Down",NA
"ARVCF",-0.207,0.62,-0.2,0.62,"-0.2","0.62","NS",NA
"ASDURF",-0.134,0.829,-0.1,0.83,"-0.1","0.83","NS",NA
"ASF1A",0.417,0.117,0.4,0.12,"0.4","0.12","NS",NA
"ASH1L",-0.318,0.607,-0.3,0.61,"-0.3","0.61","NS",NA
"ASPRV1",4.98,2.38e-08,5,0,"5.0","<0.01","Up",NA
"ASRGL1",-0.332,0.618,-0.3,0.62,"-0.3","0.62","NS",NA
"ATAD5",-0.192,0.403,-0.2,0.4,"-0.2","0.40","NS",NA
"ATF2",-0.00955,0.904,0,0.9,"-0.0","0.90","NS",NA
"ATF3",-0.18,0.784,-0.2,0.78,"-0.2","0.78","NS",NA
"ATF4",-0.326,0.702,-0.3,0.7,"-0.3","0.70","NS",NA
"ATF6",-0.298,0.293,-0.3,0.29,"-0.3","0.29","NS",NA
"ATP11C",0.115,0.879,0.1,0.88,"0.1","0.88","NS",NA
"ATP13A1",-0.0979,0.876,-0.1,0.88,"-0.1","0.88","NS",NA
"ATP1B1",-0.213,0.413,-0.2,0.41,"-0.2","0.41","NS",NA
"ATP2A2",-0.122,0.81,-0.1,0.81,"-0.1","0.81","NS",NA
"ATP5F1A",-0.0493,0.881,0,0.88,"-0.0","0.88","NS",NA
"ATP5F1B",-0.0441,0.872,0,0.87,"-0.0","0.87","NS",NA
"ATP5F1C",-5.17e-05,0.908,0,0.91,"-0.0","0.91","NS",NA
"ATP5MG",-0.258,0.306,-0.3,0.31,"-0.3","0.31","NS",NA
"ATP5MK",-0.38,0.0631,-0.4,0.06,"-0.4","0.06","NS",NA
"ATP5PO",-0.226,0.126,-0.2,0.13,"-0.2","0.13","NS",NA
"ATP6V0A1",0.0923,0.846,0.1,0.85,"0.1","0.85","NS",NA
