"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"AAMP",0.163,0.734,0.2,0.73,"0.2","0.73","NS",NA
"ABCA3",0.763,0.546,0.8,0.55,"0.8","0.55","NS",NA
"ABCB1",0.0836,0.792,0.1,0.79,"0.1","0.79","NS",NA
"ABCB10",1.07,0.309,1.1,0.31,"1.1","0.31","NS",NA
"ABCB6",0.613,0.746,0.6,0.75,"0.6","0.75","NS",NA
"ABCC10",-0.181,0.756,-0.2,0.76,"-0.2","0.76","NS",NA
"ABHD16A",0.117,0.792,0.1,0.79,"0.1","0.79","NS",NA
"ABHD5",0.14,0.803,0.1,0.8,"0.1","0.80","NS",NA
"ABLIM2",-0.513,0.644,-0.5,0.64,"-0.5","0.64","NS",NA
"ABR",-0.936,0.605,-0.9,0.6,"-0.9","0.60","NS",NA
"ABRACL",-0.528,0.598,-0.5,0.6,"-0.5","0.60","NS",NA
"ACAD9",0.322,0.626,0.3,0.63,"0.3","0.63","NS",NA
"ACAP2",0.103,0.8,0.1,0.8,"0.1","0.80","NS",NA
"ACAT2",0.497,0.68,0.5,0.68,"0.5","0.68","NS",NA
"ACE2",1.8,0.667,1.8,0.67,"1.8","0.67","NS",NA
"ACOT13",1.09,0.0222,1.1,0.02,"1.1","0.02","Up",NA
"ACOT8",0.55,0.22,0.6,0.22,"0.6","0.22","NS",NA
"ACOT9",0.42,0.592,0.4,0.59,"0.4","0.59","NS",NA
"ACOX3",0.0865,0.802,0.1,0.8,"0.1","0.80","NS",NA
"ACP1",-0.131,0.758,-0.1,0.76,"-0.1","0.76","NS",NA
"ACSS3",0.477,0.695,0.5,0.7,"0.5","0.70","NS",NA
"ACTMAP",-0.477,0.553,-0.5,0.55,"-0.5","0.55","NS",NA
"ACVR2A",1.34,0.634,1.3,0.63,"1.3","0.63","NS",NA
"ACVR2B",0.396,0.734,0.4,0.73,"0.4","0.73","NS",NA
"ACYP1",0.00686,0.815,0,0.81,"0.0","0.81","NS",NA
"ADAM9",0.619,0.416,0.6,0.42,"0.6","0.42","NS",NA
"ADAMTS1",-0.0935,0.761,-0.1,0.76,"-0.1","0.76","NS",NA
"ADD1",-0.562,0.197,-0.6,0.2,"-0.6","0.20","NS",NA
"ADGRG6",0.85,0.7,0.8,0.7,"0.8","0.70","NS",NA
"ADI1",0.373,0.71,0.4,0.71,"0.4","0.71","NS",NA
"ADIPOR1",0.458,0.766,0.5,0.77,"0.5","0.77","NS",NA
"ADISSP",-0.0716,0.788,-0.1,0.79,"-0.1","0.79","NS",NA
"ADO",0.16,0.766,0.2,0.77,"0.2","0.77","NS",NA
"AFF3",0.776,0.675,0.8,0.68,"0.8","0.68","NS",NA
"AGA",0.569,0.677,0.6,0.68,"0.6","0.68","NS",NA
"AGAP1",0.0722,0.786,0.1,0.79,"0.1","0.79","NS",NA
"AGPAT3",0.278,0.784,0.3,0.78,"0.3","0.78","NS",NA
"AGPAT5",2.28,0.593,2.3,0.59,"2.3","0.59","NS",NA
"AGR2",0.0458,0.812,0,0.81,"0.0","0.81","NS",NA
