"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"NDUFAF1",-0.538,0.0121731948026209,-0.5,0.01,"-0.5","0.01","NS",NA
"NDUFAF2",0.902,0.0841475798458893,0.9,0.08,"0.9","0.08","NS",NA
"NDUFAF3",0.591,0.00203400133799236,0.6,0,"0.6","<0.01","NS",NA
"NDUFAF4",0.338,0.311709869123217,0.3,0.31,"0.3","0.31","NS",NA
"NDUFAF5",0.106,0.710971866841482,0.1,0.71,"0.1","0.71","NS",NA
"NDUFAF7",0.255,0.309572107594187,0.3,0.31,"0.3","0.31","NS",NA
"NDUFB1",1.01,0.0806665440428895,1,0.08,"1.0","0.08","NS",NA
"NDUFB10",0.169,0.821119989208996,0.2,0.82,"0.2","0.82","NS",NA
"NDUFB11",0.8,0.00858222313162006,0.8,0.01,"0.8","<0.01","NS",NA
"NDUFB3",0.336,0.0698125744515002,0.3,0.07,"0.3","0.07","NS",NA
"NDUFB4",0.245,0.425775610566168,0.2,0.43,"0.2","0.43","NS",NA
"NDUFB5",-0.428,0.533823230292958,-0.4,0.53,"-0.4","0.53","NS",NA
"NDUFB6",0.0428,0.91973776434054,0,0.92,"0.0","0.92","NS",NA
"NDUFB7",1.03,0.0695220928767973,1,0.07,"1.0","0.07","NS",NA
"NDUFB9",0.574,0.189137337402428,0.6,0.19,"0.6","0.19","NS",NA
"NDUFC2",-0.631,0.00563832413668268,-0.6,0.01,"-0.6","<0.01","NS",NA
"NDUFS1",0.37,0.183809663554336,0.4,0.18,"0.4","0.18","NS",NA
"NDUFS2",0.149,0.594881199429818,0.1,0.59,"0.1","0.59","NS",NA
"NDUFS3",0.124,0.734859632373305,0.1,0.73,"0.1","0.73","NS",NA
"NDUFS4",1.06,0.0125048966969594,1.1,0.01,"1.1","0.01","NS",NA
"NDUFS5",0.653,0.238784666121728,0.7,0.24,"0.7","0.24","NS",NA
"NDUFS6",0.536,0.436883711591078,0.5,0.44,"0.5","0.44","NS",NA
"NDUFS7",0.376,0.369444981358257,0.4,0.37,"0.4","0.37","NS",NA
"NDUFS8",0.819,0.21640904373876,0.8,0.22,"0.8","0.22","NS",NA
"NDUFV1",0.217,0.651325827227922,0.2,0.65,"0.2","0.65","NS",NA
"NDUFV2",0.00532,0.995718146479291,0,1,"0.0","1.00","NS",NA
"NDUFV3",2,0.000205305671424756,2,0,"2.0","<0.01","Up",NA
"NEBL",0.964,0.027045850936392,1,0.03,"1.0","0.03","NS",NA
"NECAP1",-0.0822,0.823602467692127,-0.1,0.82,"-0.1","0.82","NS",NA
"NECAP2",-0.511,0.00476601151777414,-0.5,0,"-0.5","<0.01","NS",NA
"NECTIN1",-3.14,0.0118680525616595,-3.1,0.01,"-3.1","0.01","NS",NA
"NECTIN2",-0.648,0.15725406695653,-0.6,0.16,"-0.6","0.16","NS",NA
"NECTIN3",-0.418,0.297772147470189,-0.4,0.3,"-0.4","0.30","NS",NA
"NEDD1",0.624,0.210924017084721,0.6,0.21,"0.6","0.21","NS",NA
"NEDD4",0.116,0.744512039155862,0.1,0.74,"0.1","0.74","NS",NA
"NEDD4L",-0.107,0.827468339881637,-0.1,0.83,"-0.1","0.83","NS",NA
"NEFL",0.102,0.753958413521832,0.1,0.75,"0.1","0.75","NS",NA
"NEFM",0.0855,0.686931046861915,0.1,0.69,"0.1","0.69","NS",NA
"NEK1",0.495,0.248136193845282,0.5,0.25,"0.5","0.25","NS",NA
"NEK3",0.337,0.744845999367787,0.3,0.74,"0.3","0.74","NS",NA
"NEK4",2.08,0.023557654768166,2.1,0.02,"2.1","0.02","NS",NA
"NEK7",-0.265,0.498566089023323,-0.3,0.5,"-0.3","0.50","NS",NA
"NEK9",-0.269,0.520237047599637,-0.3,0.52,"-0.3","0.52","NS",NA
"NELFA",0.547,0.0673830588355066,0.5,0.07,"0.5","0.07","NS",NA
"NELFB",-0.252,0.564139712490994,-0.3,0.56,"-0.3","0.56","NS",NA
"NELFCD",0.343,0.190350586067788,0.3,0.19,"0.3","0.19","NS",NA
"NELFE",0.668,0.0758568403809856,0.7,0.08,"0.7","0.08","NS",NA
"NEMF",0.151,0.644940667215355,0.2,0.64,"0.2","0.64","NS",NA
"NENF",0.291,0.684946678995847,0.3,0.68,"0.3","0.68","NS",NA
"NEPRO",0.688,0.286603234142823,0.7,0.29,"0.7","0.29","NS",NA
"NES",0.481,0.255554370475211,0.5,0.26,"0.5","0.26","NS",NA
"NET1",1.65,0.00753996027032769,1.6,0.01,"1.6","<0.01","Up",NA
"NETO2",-1.5,0.0015025525205375,-1.5,0,"-1.5","<0.01","Down",NA
"NEURL4",-1.51,0.00383994446672207,-1.5,0,"-1.5","<0.01","Down",NA
"NEXN",0.963,0.102378774078559,1,0.1,"1.0","0.10","NS",NA
"NF1",0.666,0.0789781807059074,0.7,0.08,"0.7","0.08","NS",NA
"NF2",-0.48,0.0471892853504959,-0.5,0.05,"-0.5","0.05","NS",NA
"NFAT5",0.596,0.0897957087083315,0.6,0.09,"0.6","0.09","NS",NA
"NFATC1",0.734,0.0884522325697885,0.7,0.09,"0.7","0.09","NS",NA
"NFATC2IP",0.439,0.0654733511379367,0.4,0.07,"0.4","0.07","NS",NA
"NFATC3",0.0935,0.847104494278832,0.1,0.85,"0.1","0.85","NS",NA
"NFIA",0.887,0.0325526714826999,0.9,0.03,"0.9","0.03","NS",NA
"NFIB",-0.373,0.705327469860878,-0.4,0.71,"-0.4","0.71","NS",NA
"NFIC",0.585,0.284118886923151,0.6,0.28,"0.6","0.28","NS",NA
"NFIL3",-0.372,0.290016179027388,-0.4,0.29,"-0.4","0.29","NS",NA
"NFIX",1.37,0.013223589956803,1.4,0.01,"1.4","0.01","NS",NA
"NFKB1",-0.524,0.00904925642044429,-0.5,0.01,"-0.5","<0.01","NS",NA
"NFKB2",-0.394,0.025232236509765,-0.4,0.03,"-0.4","0.03","NS",NA
