"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ANO10",4.87,9.95e-09,4.9,0,"4.9","<0.01","Up",NA
"ANP32B",-1.32,0.0216,-1.3,0.02,"-1.3","0.02","Down",NA
"ANXA3",1.02,0.00626,1,0.01,"1.0","<0.01","Up",NA
"ANXA4",0.779,0.0174,0.8,0.02,"0.8","0.02","Up",NA
"ANXA6",1.09,0.00193,1.1,0,"1.1","<0.01","Up",NA
"AP3S2",1.58,0.254,1.6,0.25,"1.6","0.25","NS",NA
"AP4B1",1.51,0.0362,1.5,0.04,"1.5","0.04","Up",NA
"APLP1",-0.148,0.514,-0.1,0.51,"-0.1","0.51","NS",NA
"APLP2",-0.324,0.392,-0.3,0.39,"-0.3","0.39","NS",NA
"APMAP",1.01,0.00322,1,0,"1.0","<0.01","Up",NA
"APOA1",-0.583,0.271,-0.6,0.27,"-0.6","0.27","NS",NA
"APOC3",1.5,0.201,1.5,0.2,"1.5","0.20","NS",NA
"APOE",-0.183,0.464,-0.2,0.46,"-0.2","0.46","NS",NA
"APOH",0.852,0.409,0.9,0.41,"0.9","0.41","NS",NA
"APOOL",1.19,0.00899,1.2,0.01,"1.2","<0.01","Up",NA
"APP",-0.522,0.272,-0.5,0.27,"-0.5","0.27","NS",NA
"ARB2A",3.25,2.23e-05,3.2,0,"3.2","<0.01","Up",NA
"ARF1",-2.52,0.034,-2.5,0.03,"-2.5","0.03","Down",NA
"ARF3",-3.18,0.224,-3.2,0.22,"-3.2","0.22","NS",NA
"ARF4",-1.42,0.0454,-1.4,0.05,"-1.4","0.05","Down",NA
"ARF5",-1.56,0.0479,-1.6,0.05,"-1.6","0.05","Down",NA
"ARFGAP3",0.0356,0.515,0,0.52,"0.0","0.52","NS",NA
"ARHGAP11A",0.502,0.447,0.5,0.45,"0.5","0.45","NS",NA
"ARHGEF26",2.71,0.00612,2.7,0.01,"2.7","<0.01","Up",NA
"ARK2N",-1.35,0.0175,-1.4,0.02,"-1.4","0.02","Down",NA
"ARL10",1.79,0.0011,1.8,0,"1.8","<0.01","Up",NA
"ARL2",-1.84,0.0131,-1.8,0.01,"-1.8","0.01","Down",NA
"ARL3",-2.25,0.0173,-2.2,0.02,"-2.2","0.02","Down",NA
"ARL5B",-8.32,0.00036,-8.3,0,"-8.3","<0.01","Down",NA
"ARL6IP1",0.446,0.394,0.4,0.39,"0.4","0.39","NS",NA
"ARL6IP6",4.11,2.74e-05,4.1,0,"4.1","<0.01","Up",NA
"ARPC5L",-1.18,0.01,-1.2,0.01,"-1.2","0.01","Down",NA
"ARPP19",-2.41,0.0222,-2.4,0.02,"-2.4","0.02","Down",NA
"ARRB1",-1.09,0.00267,-1.1,0,"-1.1","<0.01","Down",NA
"ARRDC3",5.05,0.0258,5,0.03,"5.0","0.03","Up",NA
"ART5",0.0114,0.538,0,0.54,"0.0","0.54","NS",NA
"ARVCF",2.11,4.01e-05,2.1,0,"2.1","<0.01","Up",NA
"ASDURF",-1.88,0.009,-1.9,0.01,"-1.9","<0.01","Down",NA
"ASF1A",-1.33,0.0215,-1.3,0.02,"-1.3","0.02","Down",NA
"ASH1L",3.28,2.13e-05,3.3,0,"3.3","<0.01","Up",NA
"ASPRV1",-0.115,0.533,-0.1,0.53,"-0.1","0.53","NS",NA
"ASRGL1",-2.17,0.0148,-2.2,0.01,"-2.2","0.01","Down",NA
"ATAD5",0.0588,0.502,0.1,0.5,"0.1","0.50","NS",NA
"ATF2",-1.24,0.0344,-1.2,0.03,"-1.2","0.03","Down",NA
"ATF3",-2.03,0.0062,-2,0.01,"-2.0","<0.01","Down",NA
"ATF4",-0.299,0.459,-0.3,0.46,"-0.3","0.46","NS",NA
"ATF6",-1.05,0.044,-1,0.04,"-1.0","0.04","Down",NA
"ATP11C",7.47,9.37e-12,7.5,0,"7.5","<0.01","Up",NA
"ATP13A1",3.03,0.00167,3,0,"3.0","<0.01","Up",NA
"ATP1B1",0.252,0.368,0.3,0.37,"0.3","0.37","NS",NA
"ATP2A2",1.23,0.0327,1.2,0.03,"1.2","0.03","Up",NA
"ATP5F1A",1.69,0.00245,1.7,0,"1.7","<0.01","Up",NA
"ATP5F1B",1.04,0.0117,1,0.01,"1.0","0.01","Up",NA
"ATP5F1C",1.71,0.00404,1.7,0,"1.7","<0.01","Up",NA
"ATP5MG",1.19,0.00979,1.2,0.01,"1.2","<0.01","Up",NA
"ATP5MK",-0.0884,0.493,-0.1,0.49,"-0.1","0.49","NS",NA
"ATP5PO",1.16,0.000118,1.2,0,"1.2","<0.01","Up",NA
"ATP6V0A1",1.21,0.0362,1.2,0.04,"1.2","0.04","Up",NA
"ATP6V0A2",1.4,0.0035,1.4,0,"1.4","<0.01","Up",NA
"ATP6V0D2",-0.636,0.363,-0.6,0.36,"-0.6","0.36","NS",NA
"ATP6V1D",-0.567,0.0567,-0.6,0.06,"-0.6","0.06","NS",NA
"ATP7A",2.74,0.0256,2.7,0.03,"2.7","0.03","Up",NA
"ATP9A",4.1,0.0129,4.1,0.01,"4.1","0.01","Up",NA
"ATR",8,3.36e-14,8,0,"8.0","<0.01","Up","ATR"
"ATXN2L",-1.36,0.0132,-1.4,0.01,"-1.4","0.01","Down",NA
"ATXN7",4.59,0.00062,4.6,0,"4.6","<0.01","Up",NA
