"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BTN2A3P",1.97,0.757444281283986,2,0.76,"2.0","0.76","NS",NA
"C1orf159",3.38,0.108374325602106,3.4,0.11,"3.4","0.11","NS",NA
"C1orf198",0.537,0.438297807001746,0.5,0.44,"0.5","0.44","NS",NA
"C2CD2L",0.973,0.197755705985785,1,0.2,"1.0","0.20","NS",NA
"C4A",-1.13,0.730885493068488,-1.1,0.73,"-1.1","0.73","NS",NA
"C4BPA",-0.577,0.861012588658325,-0.6,0.86,"-0.6","0.86","NS",NA
"C6orf89",0.187,0.885507048631423,0.2,0.89,"0.2","0.89","NS",NA
"C8orf88",0.0764,0.994468912352257,0.1,0.99,"0.1","0.99","NS",NA
"C9orf72",-2.45,0.67326274376556,-2.5,0.67,"-2.5","0.67","NS",NA
"CABIN1",0.541,0.45117105097457,0.5,0.45,"0.5","0.45","NS",NA
"CALCOCO2",0.389,0.67326274376556,0.4,0.67,"0.4","0.67","NS",NA
"CAMKK1",-0.492,0.431264276867196,-0.5,0.43,"-0.5","0.43","NS",NA
"CARMIL2",0.637,0.509883104569328,0.6,0.51,"0.6","0.51","NS",NA
"CASTOR2",0.128,0.963165818972659,0.1,0.96,"0.1","0.96","NS",NA
"CBY1",0.503,0.62578198891247,0.5,0.63,"0.5","0.63","NS",NA
"CCDC106",0.723,0.134955632094589,0.7,0.13,"0.7","0.13","NS",NA
"CCDC120",0.106,0.988447817688458,0.1,0.99,"0.1","0.99","NS",NA
"CCDC138",-0.194,0.984569478679405,-0.2,0.98,"-0.2","0.98","NS",NA
"CCDC158",-0.177,0.939556993737073,-0.2,0.94,"-0.2","0.94","NS",NA
"CCDC18",0.301,0.845446431728577,0.3,0.85,"0.3","0.85","NS",NA
"CCDC186",-0.064,0.955374981688756,-0.1,0.96,"-0.1","0.96","NS",NA
"CCDC28B",0.386,0.714306443421759,0.4,0.71,"0.4","0.71","NS",NA
"CCDC66",0.587,0.765858358600333,0.6,0.77,"0.6","0.77","NS",NA
"CCDC82",1.48,0.809431912656126,1.5,0.81,"1.5","0.81","NS",NA
"CCK",0.405,0.844554650473941,0.4,0.84,"0.4","0.84","NS",NA
"CCN1",-6.3,5.02103860461626e-06,-6.3,0,"-6.3","<0.01","Down",NA
"CCN2",-1.54,0.677305640068474,-1.5,0.68,"-1.5","0.68","NS",NA
"CCNQ",4.03,0.138348063116986,4,0.14,"4.0","0.14","NS",NA
"CCPG1",-0.0928,0.955374981688756,-0.1,0.96,"-0.1","0.96","NS",NA
"CD151",0.137,0.929212359899211,0.1,0.93,"0.1","0.93","NS",NA
"CD40",4.76,0.0865405579693318,4.8,0.09,"4.8","0.09","NS",NA
"CD81",0.634,0.470337577627291,0.6,0.47,"0.6","0.47","NS",NA
"CD84",0.823,0.879477427983762,0.8,0.88,"0.8","0.88","NS",NA
"CD99",-5.83,0.065285905374472,-5.8,0.07,"-5.8","0.07","NS",NA
"CDC42EP1",0.818,0.14507937235119,0.8,0.15,"0.8","0.15","NS",NA
"CDCA7L",0.471,0.332538798189504,0.5,0.33,"0.5","0.33","NS",NA
"CDK11A",0.522,0.85624738023848,0.5,0.86,"0.5","0.86","NS",NA
"CDKN2A",0.357,0.54227119479674,0.4,0.54,"0.4","0.54","NS",NA
"CEBPZOS",0.0457,0.988447817688458,0,0.99,"0.0","0.99","NS",NA
"CENPW",-0.389,0.750247715097105,-0.4,0.75,"-0.4","0.75","NS",NA
"CENPX",0.649,0.49763840538998,0.6,0.5,"0.6","0.50","NS",NA
"CEP170B",0.334,0.583472049537499,0.3,0.58,"0.3","0.58","NS",NA
"CEP41",0.111,0.882865676314932,0.1,0.88,"0.1","0.88","NS",NA
"CFAP97",0.875,0.232792136116192,0.9,0.23,"0.9","0.23","NS",NA
"CHCHD4",0.904,0.809431912656126,0.9,0.81,"0.9","0.81","NS",NA
"CHKA",2.13,0.591814602373733,2.1,0.59,"2.1","0.59","NS",NA
"CHPF",4.85,0.0858385815822363,4.8,0.09,"4.8","0.09","NS",NA
"CHPF2",-0.261,0.961612377067772,-0.3,0.96,"-0.3","0.96","NS",NA
"CHSY1",-0.0118,0.995516042414451,0,1,"-0.0","1.00","NS",NA
"CISD1",0.324,0.542345809900522,0.3,0.54,"0.3","0.54","NS",NA
"CKS1B",0.307,0.728183200300694,0.3,0.73,"0.3","0.73","NS",NA
"CKS2",0.504,0.425229040560811,0.5,0.43,"0.5","0.43","NS",NA
"CLK3",0.787,0.0560875114214343,0.8,0.06,"0.8","0.06","NS",NA
"CLOCK",-5.62,0.0399750982308375,-5.6,0.04,"-5.6","0.04","NS",NA
"CLTCL1",5.74,4.05642628872749e-05,5.7,0,"5.7","<0.01","Up",NA
"CLU",-0.206,0.80381140161004,-0.2,0.8,"-0.2","0.80","NS",NA
"CMTM6",-4.53,0.0111266875126065,-4.5,0.01,"-4.5","0.01","NS",NA
"CNBP",-1.1,0.597339793767155,-1.1,0.6,"-1.1","0.60","NS",NA
"CNEP1R1",0.132,0.984569478679405,0.1,0.98,"0.1","0.98","NS",NA
"CNOT8",-0.0676,0.984569478679405,-0.1,0.98,"-0.1","0.98","NS",NA
"CNOT9",0.201,0.879477427983762,0.2,0.88,"0.2","0.88","NS",NA
"COL1A1",0.781,0.594993581117422,0.8,0.59,"0.8","0.59","NS",NA
"COL1A2",2.28,0.0169791435680515,2.3,0.02,"2.3","0.02","NS",NA
"COL4A6",0.636,0.106039636290079,0.6,0.11,"0.6","0.11","NS",NA
"COLEC12",0.342,0.62113539970608,0.3,0.62,"0.3","0.62","NS",NA
"COMMD3",0.148,0.872603237406532,0.1,0.87,"0.1","0.87","NS",NA
"COMMD5",0.286,0.955374981688756,0.3,0.96,"0.3","0.96","NS",NA
"COMMD8",0.593,0.629289476636612,0.6,0.63,"0.6","0.63","NS",NA
"COMMD9",0.41,0.283459819754807,0.4,0.28,"0.4","0.28","NS",NA
"COQ9",1.01,0.00668190165599573,1,0.01,"1.0","<0.01","Up",NA
"COX6A1",1.39,0.111460426773502,1.4,0.11,"1.4","0.11","NS",NA
"CPNE8",0.165,0.762805435237386,0.2,0.76,"0.2","0.76","NS",NA
"CRABP2",-0.663,0.539196531298419,-0.7,0.54,"-0.7","0.54","NS",NA
"CRBN",-0.273,0.80402468617665,-0.3,0.8,"-0.3","0.80","NS",NA
"CREM",1.3,0.765858358600333,1.3,0.77,"1.3","0.77","NS",NA
"CRIM1",-0.338,0.826099762460519,-0.3,0.83,"-0.3","0.83","NS",NA
"CRYGD",4.08,0.0177872566337208,4.1,0.02,"4.1","0.02","NS",NA
"CSPG4",0.245,0.910961081663142,0.2,0.91,"0.2","0.91","NS",NA
"CSPG5",1.2,0.82856463622495,1.2,0.83,"1.2","0.83","NS",NA
"CUL7",0.531,0.774902119391003,0.5,0.77,"0.5","0.77","NS",NA
"CWC22",0.211,0.668732844884172,0.2,0.67,"0.2","0.67","NS",NA
"CYBA",0.665,0.591587073973859,0.7,0.59,"0.7","0.59","NS",NA
"CYBC1",0.263,0.726578383685177,0.3,0.73,"0.3","0.73","NS",NA
"CYLD",0.225,0.920274104522903,0.2,0.92,"0.2","0.92","NS",NA
"CYREN",0.601,0.78030513049381,0.6,0.78,"0.6","0.78","NS",NA
"CYSTM1",-4.5,0.172116076938989,-4.5,0.17,"-4.5","0.17","NS",NA
"DACT1",0.242,0.961166562645478,0.2,0.96,"0.2","0.96","NS",NA
"DBP",2.27,0.0708768523087024,2.3,0.07,"2.3","0.07","NS",NA
"DCBLD1",-1.49,0.542345809900522,-1.5,0.54,"-1.5","0.54","NS",NA
"DCTD",-0.212,0.81533140675876,-0.2,0.82,"-0.2","0.82","NS",NA
"DDIT4",-0.684,0.663986169717532,-0.7,0.66,"-0.7","0.66","NS",NA
"DDR2",-0.186,0.835436228448749,-0.2,0.84,"-0.2","0.84","NS",NA
"DDX19A",0.013,0.995554326598971,0,1,"0.0","1.00","NS",NA
"DDX28",0.442,0.28341588335964,0.4,0.28,"0.4","0.28","NS",NA
"DGCR2",-0.438,0.560656133162888,-0.4,0.56,"-0.4","0.56","NS",NA
"DGCR6",0.417,0.81533140675876,0.4,0.82,"0.4","0.82","NS",NA
"DGCR6L",0.718,0.67115302047449,0.7,0.67,"0.7","0.67","NS",NA
"DHDDS",-2.86,0.60957815905012,-2.9,0.61,"-2.9","0.61","NS",NA
"DHRS13",-0.469,0.882707492038362,-0.5,0.88,"-0.5","0.88","NS",NA
"DKK1",-1.91,0.0251765458978265,-1.9,0.03,"-1.9","0.03","NS",NA
"DLX1",-0.872,0.866697009838121,-0.9,0.87,"-0.9","0.87","NS",NA
"DLX6",0.0517,0.987885709577048,0.1,0.99,"0.1","0.99","NS",NA
"DMTN",0.524,0.645824894040314,0.5,0.65,"0.5","0.65","NS",NA
"DNA2",-0.0826,0.966286310665084,-0.1,0.97,"-0.1","0.97","NS",NA
"DNAJB5",0.76,0.894368889025858,0.8,0.89,"0.8","0.89","NS",NA
"DNAL4",0.206,0.82145088516114,0.2,0.82,"0.2","0.82","NS",NA
"DNLZ",-5,3.64422246568244e-08,-5,0,"-5.0","<0.01","Down","DNLZ"
"DOLK",0.105,0.981692480747215,0.1,0.98,"0.1","0.98","NS",NA
"DPH7",0.193,0.96235724341928,0.2,0.96,"0.2","0.96","NS",NA
