"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"DG 30:3 NL 16:1",-0.282,0.953944604452849,-0.3,0.95,"-0.3","0.95","NS",NA
"DG 30:3 NL 20:0",-0.217,0.953944604452849,-0.2,0.95,"-0.2","0.95","NS",NA
"DG 32:1 NL 16:0",-0.00448,0.988995569714125,0,0.99,"-0.0","0.99","NS",NA
"DG 32:1 NL 16:1",0.0136,0.986640738443228,0,0.99,"0.0","0.99","NS",NA
"DG 32:5 NL 18:1",-0.00173,0.998877189461052,0,1,"-0.0","1.00","NS",NA
"DG 34:0 NL 18:0",0.0972,0.953944604452849,0.1,0.95,"0.1","0.95","NS",NA
"DG 34:0 NL 20:0",-0.0817,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"DG 34:1 NL 16:0",-0.126,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"DG 34:1 NL 16:1",-0.0823,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"DG 34:1 NL 18:1",-0.197,0.931806612788177,-0.2,0.93,"-0.2","0.93","NS",NA
"DG 34:1 NL 20:0",-0.134,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"DG 34:2 NL 16:1",-0.166,0.953944604452849,-0.2,0.95,"-0.2","0.95","NS",NA
"DG 34:2 NL 18:1",0.0215,0.981017337571713,0,0.98,"0.0","0.98","NS",NA
"DG 34:2 NL 20:0",-0.0525,0.981017337571713,-0.1,0.98,"-0.1","0.98","NS",NA
"DG 34:3 NL 18:1",-0.0697,0.981017337571713,-0.1,0.98,"-0.1","0.98","NS",NA
"DG 36:0 NL 16:0",-0.0683,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"DG 36:0 NL 18:0",0.0098,0.986640738443228,0,0.99,"0.0","0.99","NS",NA
"DG 36:1 NL 16:1",-0.234,0.819262706896905,-0.2,0.82,"-0.2","0.82","NS",NA
"DG 36:1 NL 18:0",0.0723,0.953944604452849,0.1,0.95,"0.1","0.95","NS",NA
