"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"PE 36:7",-0.0568,0.579955779,-0.1,0.58,"-0.1","0.58","NS",NA
"PE 38:0",-0.213,0.02763866,-0.2,0.03,"-0.2","0.03","NS",NA
"PE 38:1",0.0754,0.445611671,0.1,0.45,"0.1","0.45","NS",NA
"PE 38:2",0.215,0.135450252,0.2,0.14,"0.2","0.14","NS",NA
"PE 38:3",0.295,0.041264247,0.3,0.04,"0.3","0.04","NS",NA
"PE 38:4",0.564,0.002827035,0.6,0,"0.6","<0.01","Up",NA
"PE 38:5",0.534,0.002430222,0.5,0,"0.5","<0.01","Up",NA
"PE 38:6",0.0272,0.827433074,0,0.83,"0.0","0.83","NS",NA
"PE 40:1",-0.0289,0.806187079,0,0.81,"-0.0","0.81","NS",NA
"PE 40:2",-0.0649,0.596039001,-0.1,0.6,"-0.1","0.60","NS",NA
"PE 40:3",-0.196,0.070153042,-0.2,0.07,"-0.2","0.07","NS",NA
"PE 40:4",0.0822,0.420934225,0.1,0.42,"0.1","0.42","NS",NA
"PE 40:5",0.211,0.069789513,0.2,0.07,"0.2","0.07","NS",NA
"PE 40:6",0.221,0.211538744,0.2,0.21,"0.2","0.21","NS",NA
"PE 40:7",-0.1,0.357637414,-0.1,0.36,"-0.1","0.36","NS",NA
"PE 42:1",-0.212,0.050385544,-0.2,0.05,"-0.2","0.05","NS",NA
"PE O-34:0",-0.0386,0.771665356,0,0.77,"-0.0","0.77","NS",NA
"PE O-34:1",0.325,0.030767768,0.3,0.03,"0.3","0.03","NS",NA
"PE O-34:2",-0.0228,0.863630468,0,0.86,"-0.0","0.86","NS",NA
"PE O-36:1",0.253,0.151000846,0.3,0.15,"0.3","0.15","NS",NA
"PE O-36:2",0.46,0.021447799,0.5,0.02,"0.5","0.02","Up",NA
"PE O-36:3",0.00186,0.981210678,0,0.98,"0.0","0.98","NS",NA
"PE O-36:4",-0.121,0.376049573,-0.1,0.38,"-0.1","0.38","NS",NA
"PE O-36:5",-0.138,0.218126536,-0.1,0.22,"-0.1","0.22","NS",NA
"PE O-38:1",-0.15,0.0861217,-0.1,0.09,"-0.1","0.09","NS",NA
"PE O-38:3",-0.0361,0.777905783,0,0.78,"-0.0","0.78","NS",NA
