"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"DG 30:3 NL 20:0",-0.567,0.682177561080124,-0.6,0.68,"-0.6","0.68","NS",NA
"DG 32:1 NL 16:0",-0.116,0.819582966663752,-0.1,0.82,"-0.1","0.82","NS",NA
"DG 32:1 NL 16:1",-0.106,0.897447277843379,-0.1,0.9,"-0.1","0.90","NS",NA
"DG 32:5 NL 18:1",-0.124,0.978014236929333,-0.1,0.98,"-0.1","0.98","NS",NA
"DG 34:0 NL 18:0",0.0336,0.998456697304311,0,1,"0.0","1.00","NS",NA
"DG 34:0 NL 20:0",-0.207,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"DG 34:1 NL 16:0",-0.288,0.621777161529986,-0.3,0.62,"-0.3","0.62","NS",NA
"DG 34:1 NL 16:1",-0.16,0.773352052190916,-0.2,0.77,"-0.2","0.77","NS",NA
"DG 34:1 NL 18:1",-0.289,0.626505494428752,-0.3,0.63,"-0.3","0.63","NS",NA
"DG 34:1 NL 20:0",-0.22,0.878285362676925,-0.2,0.88,"-0.2","0.88","NS",NA
"DG 34:2 NL 16:1",-0.283,0.688497329490797,-0.3,0.69,"-0.3","0.69","NS",NA
"DG 34:2 NL 18:1",-0.109,0.878285362676925,-0.1,0.88,"-0.1","0.88","NS",NA
"DG 34:2 NL 20:0",-0.357,0.783852927068135,-0.4,0.78,"-0.4","0.78","NS",NA
"DG 34:3 NL 18:1",-0.00732,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"DG 36:0 NL 16:0",-0.0937,0.893499778036102,-0.1,0.89,"-0.1","0.89","NS",NA
"DG 36:0 NL 18:0",0.145,0.818830527138855,0.1,0.82,"0.1","0.82","NS",NA
"DG 36:1 NL 16:1",-0.0339,0.995250348509239,0,1,"-0.0","1.00","NS",NA
"DG 36:1 NL 18:0",-0.169,0.681012777213551,-0.2,0.68,"-0.2","0.68","NS",NA
"DG 36:1 NL 18:1",-0.0172,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"DG 36:2 NL 18:1",-0.194,0.783778223601504,-0.2,0.78,"-0.2","0.78","NS",NA
"DG 36:5 NL 16:0",-0.223,0.820808634286453,-0.2,0.82,"-0.2","0.82","NS",NA
"DG 36:6 NL 16:0",-0.21,0.983273573225829,-0.2,0.98,"-0.2","0.98","NS",NA
"DG 36:6 NL 22:5",-0.378,0.783852927068135,-0.4,0.78,"-0.4","0.78","NS",NA
"DG 36:7 NL 16:0",-0.415,0.924067761827192,-0.4,0.92,"-0.4","0.92","NS",NA
"DG 36:7 NL 16:1",-0.475,0.783852927068135,-0.5,0.78,"-0.5","0.78","NS",NA
"DG 36:7 NL 20:0",-0.169,0.79154525417196,-0.2,0.79,"-0.2","0.79","NS",NA
"DG 36:7 NL 22:5",-0.396,0.851781189323638,-0.4,0.85,"-0.4","0.85","NS",NA
"DG 36:8 NL 22:6",-0.6,0.703432525559224,-0.6,0.7,"-0.6","0.70","NS",NA
"DG 38:0 NL 18:0",0.0272,0.998456697304311,0,1,"0.0","1.00","NS",NA
"DG 38:0 NL 20:0",0.0458,0.998456697304311,0,1,"0.0","1.00","NS",NA
"DG 40:5 NL 20:0",-0.316,0.627978789039065,-0.3,0.63,"-0.3","0.63","NS",NA
"DG 40:5 NL 22:5",-0.18,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"DG 40:6 NL 20:0",-0.32,0.819582966663752,-0.3,0.82,"-0.3","0.82","NS",NA
"DG 40:6 NL 22:6",-0.331,0.819582966663752,-0.3,0.82,"-0.3","0.82","NS",NA
"DG 40:7 NL 22:6",-0.127,0.851781189323638,-0.1,0.85,"-0.1","0.85","NS",NA
"DG 42:10 NL 22:5",-0.222,0.871036600300342,-0.2,0.87,"-0.2","0.87","NS",NA
"DG 42:11 NL 16:0",-0.605,0.773352052190916,-0.6,0.77,"-0.6","0.77","NS",NA
"DG 42:11 NL 22:5",-0.606,0.819582966663752,-0.6,0.82,"-0.6","0.82","NS",NA
"LPC 16:0",-0.0684,0.998456697304311,-0.1,1,"-0.1","1.00","NS",NA
"LPC 16:1",-0.31,0.819582966663752,-0.3,0.82,"-0.3","0.82","NS",NA
"LPC 18:0",0.429,0.649923037009257,0.4,0.65,"0.4","0.65","NS",NA
"LPC 18:1",-0.502,0.819582966663752,-0.5,0.82,"-0.5","0.82","NS",NA
"LPC 18:2",-0.0902,0.912759279849117,-0.1,0.91,"-0.1","0.91","NS",NA
"LPC 20:0",-0.0181,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"LPC 24:0",0.0161,0.998456697304311,0,1,"0.0","1.00","NS",NA
"LPC 26:0",0.232,0.851781189323638,0.2,0.85,"0.2","0.85","NS",NA
"LPC O-18:1",-0.144,0.785936800015069,-0.1,0.79,"-0.1","0.79","NS",NA
"LPC O-20:4",0.0184,0.998456697304311,0,1,"0.0","1.00","NS",NA
"LPC O-20:5",0.241,0.711517921127375,0.2,0.71,"0.2","0.71","NS",NA
"LPC(14:0)",-0.371,0.626505494428752,-0.4,0.63,"-0.4","0.63","NS",NA
"LPC(20:1)",0.0483,0.995250348509239,0,1,"0.0","1.00","NS",NA
"LPE 18:0",0.0194,0.998456697304311,0,1,"0.0","1.00","NS",NA
"LPE 18:1",-0.123,0.924067761827192,-0.1,0.92,"-0.1","0.92","NS",NA
"LPE 20:1",0.122,0.851781189323638,0.1,0.85,"0.1","0.85","NS",NA
"LPE(O-20:4)",-0.0635,0.998456697304311,-0.1,1,"-0.1","1.00","NS",NA
"LPI O-20:0",-0.186,0.878285362676925,-0.2,0.88,"-0.2","0.88","NS",NA
"PC 14:0",0.0302,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC 18:0",0.222,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PC 22:0",0.182,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PC 24:0",0.169,0.819582966663752,0.2,0.82,"0.2","0.82","NS",NA
"PC 26:0",0.142,0.983273573225829,0.1,0.98,"0.1","0.98","NS",NA
"PC 26:1",0.0361,0.983273573225829,0,0.98,"0.0","0.98","NS",NA
"PC 28:0",-0.00174,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 28:1",0.148,0.887209969658617,0.1,0.89,"0.1","0.89","NS",NA
"PC 28:2",0.0959,0.819582966663752,0.1,0.82,"0.1","0.82","NS",NA
"PC 28:6",0.27,0.621777161529986,0.3,0.62,"0.3","0.62","NS",NA
"PC 30:0",0.427,0.497266208322466,0.4,0.5,"0.4","0.50","NS","PC 30:0"
"PC 30:1",-0.216,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"PC 30:2",-0.0536,0.983273573225829,-0.1,0.98,"-0.1","0.98","NS",NA
"PC 30:3",0.117,0.851781189323638,0.1,0.85,"0.1","0.85","NS",NA
"PC 32:0",0.267,0.773352052190916,0.3,0.77,"0.3","0.77","NS",NA
"PC 32:1",-0.0136,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 32:2",-0.205,0.79154525417196,-0.2,0.79,"-0.2","0.79","NS",NA
"PC 32:3",0.00336,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC 32:4",-0.00193,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 32:5",-0.0501,0.983273573225829,-0.1,0.98,"-0.1","0.98","NS",NA
"PC 32:6",0.724,0.783852927068135,0.7,0.78,"0.7","0.78","NS",NA
"PC 34:0",0.13,0.892332302000997,0.1,0.89,"0.1","0.89","NS",NA
"PC 34:1",0.0254,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC 34:2",0.0077,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC 34:3",-0.0385,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 34:6",-0.137,0.851781189323638,-0.1,0.85,"-0.1","0.85","NS",NA
"PC 36:1",0.133,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PC 36:2",-0.0156,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 36:3",-0.0168,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 36:4",0.297,0.621777161529986,0.3,0.62,"0.3","0.62","NS",NA
"PC 36:5",0.353,0.621777161529986,0.4,0.62,"0.4","0.62","NS",NA
"PC 36:6",0.107,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PC 36:7",-0.25,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"PC 38:1",0.386,0.501802604933202,0.4,0.5,"0.4","0.50","NS",NA
"PC 38:2",-0.00735,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 38:3",-0.0345,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 38:4",0.549,0.258821883479312,0.5,0.26,"0.5","0.26","NS","PC 38:4"
"PC 38:5",0.542,0.346035421418391,0.5,0.35,"0.5","0.35","NS","PC 38:5"
"PC 38:6",0.438,0.497266208322466,0.4,0.5,"0.4","0.50","NS","PC 38:6"
"PC 38:7",0.111,0.959131414497509,0.1,0.96,"0.1","0.96","NS",NA
"PC 40:1",0.19,0.773352052190916,0.2,0.77,"0.2","0.77","NS",NA
"PC 40:2",0.308,0.773352052190916,0.3,0.77,"0.3","0.77","NS",NA
"PC 40:3",0.207,0.773352052190916,0.2,0.77,"0.2","0.77","NS",NA
"PC 40:4",0.197,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PC 40:5",0.398,0.497266208322466,0.4,0.5,"0.4","0.50","NS",NA
"PC 40:6",0.415,0.165138544261737,0.4,0.17,"0.4","0.17","NS","PC 40:6"
"PC 40:7",0.29,0.621777161529986,0.3,0.62,"0.3","0.62","NS",NA
"PC 42:0",0.237,0.711517921127375,0.2,0.71,"0.2","0.71","NS",NA
"PC 42:1",0.14,0.785936800015069,0.1,0.79,"0.1","0.79","NS",NA
"PC 42:10",0.166,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PC 42:11",0.136,0.819582966663752,0.1,0.82,"0.1","0.82","NS",NA
"PC 42:2",0.213,0.649923037009257,0.2,0.65,"0.2","0.65","NS",NA
"PC 42:3",-0.106,0.878285362676925,-0.1,0.88,"-0.1","0.88","NS",NA
"PC 42:4",0.112,0.819582966663752,0.1,0.82,"0.1","0.82","NS",NA
"PC 42:5",0.153,0.780977482685342,0.2,0.78,"0.2","0.78","NS",NA
"PC 42:6",0.363,0.497266208322466,0.4,0.5,"0.4","0.50","NS",NA
"PC 42:7",0.209,0.780977482685342,0.2,0.78,"0.2","0.78","NS",NA
"PC 42:8",0.115,0.801508908002934,0.1,0.8,"0.1","0.80","NS",NA
"PC 42:9",-0.00423,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 44:0",0.105,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"PC 44:1",0.234,0.627978789039065,0.2,0.63,"0.2","0.63","NS",NA
"PC 44:2",0.0861,0.851781189323638,0.1,0.85,"0.1","0.85","NS",NA
"PC 44:5",0.126,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"PC 44:8",0.109,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"PC 46:1",-0.00181,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC 46:2",0.0521,0.978014236929333,0.1,0.98,"0.1","0.98","NS",NA
"PC 48:2",-0.0523,0.964071504866061,-0.1,0.96,"-0.1","0.96","NS",NA
"PC O-24:6",0.618,0.785936800015069,0.6,0.79,"0.6","0.79","NS",NA
"PC O-28:0",0.129,0.86101578718281,0.1,0.86,"0.1","0.86","NS",NA
"PC O-28:1",0.114,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PC O-30:1",-0.0685,0.978014236929333,-0.1,0.98,"-0.1","0.98","NS",NA
"PC O-30:6",0.405,0.497266208322466,0.4,0.5,"0.4","0.50","NS",NA
"PC O-32:0",-0.128,0.946483819170545,-0.1,0.95,"-0.1","0.95","NS",NA
"PC O-32:1",0.155,0.892332302000997,0.2,0.89,"0.2","0.89","NS",NA
"PC O-32:2",0.0537,0.983273573225829,0.1,0.98,"0.1","0.98","NS",NA
"PC O-32:3",-0.0462,0.990456649697473,0,0.99,"-0.0","0.99","NS",NA
"PC O-32:6",1.06,0.621777161529986,1.1,0.62,"1.1","0.62","NS",NA
"PC O-34:0",-0.246,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"PC O-34:1",0.0123,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC O-34:2",-0.0232,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC O-34:3",-0.0964,0.924067761827192,-0.1,0.92,"-0.1","0.92","NS",NA
"PC O-34:5",1.27,0.783852927068135,1.3,0.78,"1.3","0.78","NS",NA
"PC O-36:1",-0.123,0.959131414497509,-0.1,0.96,"-0.1","0.96","NS",NA
"PC O-36:2",-0.24,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"PC O-36:3",0.063,0.995250348509239,0.1,1,"0.1","1.00","NS",NA
"PC O-36:6",0.0426,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC O-38:1",0.072,0.984532754964246,0.1,0.98,"0.1","0.98","NS",NA
"PC O-38:2",-0.0226,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC O-38:3",0.148,0.878285362676925,0.1,0.88,"0.1","0.88","NS",NA
"PC O-38:4",0.341,0.627978789039065,0.3,0.63,"0.3","0.63","NS",NA
"PC O-38:5",0.342,0.649923037009257,0.3,0.65,"0.3","0.65","NS",NA
"PC O-38:7",0.14,0.858108565020274,0.1,0.86,"0.1","0.86","NS",NA
"PC O-40:2",-0.105,0.946483819170545,-0.1,0.95,"-0.1","0.95","NS",NA
"PC O-40:3",0.0906,0.893499778036102,0.1,0.89,"0.1","0.89","NS",NA
"PC O-40:4",0.373,0.626505494428752,0.4,0.63,"0.4","0.63","NS",NA
"PC O-40:5",0.1,0.893499778036102,0.1,0.89,"0.1","0.89","NS",NA
"PC O-40:6",0.276,0.801508908002934,0.3,0.8,"0.3","0.80","NS",NA
"PC O-40:7",0.469,0.429082326522917,0.5,0.43,"0.5","0.43","NS","PC O-40:7"
"PC O-42:5",0.21,0.649923037009257,0.2,0.65,"0.2","0.65","NS",NA
"PC O-42:6",0.0328,0.983273573225829,0,0.98,"0.0","0.98","NS",NA
"PC O-42:7",0.173,0.703432525559224,0.2,0.7,"0.2","0.70","NS",NA
"PC O-44:2",0.132,0.780977482685342,0.1,0.78,"0.1","0.78","NS",NA
"PC O-44:6",0.0917,0.851781189323638,0.1,0.85,"0.1","0.85","NS",NA
"PC(16:0)",-0.0224,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC(16:0/8:0(COOH))",0.0961,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PC(34:4)",0.859,0.773352052190916,0.9,0.77,"0.9","0.77","NS",NA
"PC(O-40:1)",-0.206,0.924067761827192,-0.2,0.92,"-0.2","0.92","NS",NA
"PC(P-30:1)",0.145,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"PE 32:0",-0.012,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PE 32:2",-0.0812,0.819582966663752,-0.1,0.82,"-0.1","0.82","NS",NA
"PE 34:0",0.0996,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PE 34:2",-0.02,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PE 34:3",0.191,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PE 36:0",0.212,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PE 36:1",0.207,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PE 36:2",0.00926,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PE 36:3",-0.144,0.852823170434178,-0.1,0.85,"-0.1","0.85","NS",NA
"PE 36:4",-0.196,0.783852927068135,-0.2,0.78,"-0.2","0.78","NS",NA
"PE 36:5",0.0337,0.995250348509239,0,1,"0.0","1.00","NS",NA
"PE 36:7",0.132,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"PE 38:0",0.23,0.497266208322466,0.2,0.5,"0.2","0.50","NS",NA
"PE 38:1",0.00977,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PE 38:2",0.171,0.785936800015069,0.2,0.79,"0.2","0.79","NS",NA
"PE 38:3",0.0767,0.959131414497509,0.1,0.96,"0.1","0.96","NS",NA
"PE 38:4",0.0766,0.978014236929333,0.1,0.98,"0.1","0.98","NS",NA
"PE 38:5",-0.112,0.897447277843379,-0.1,0.9,"-0.1","0.90","NS",NA
"PE 38:6",-0.0527,0.983273573225829,-0.1,0.98,"-0.1","0.98","NS",NA
"PE 40:1",0.171,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PE 40:2",0.133,0.819582966663752,0.1,0.82,"0.1","0.82","NS",NA
"PE 40:3",0.141,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"PE 40:4",-0.038,0.983273573225829,0,0.98,"-0.0","0.98","NS",NA
"PE 40:5",0.0196,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PE 40:6",0.343,0.627978789039065,0.3,0.63,"0.3","0.63","NS",NA
"PE 40:7",-0.074,0.924067761827192,-0.1,0.92,"-0.1","0.92","NS",NA
"PE 42:1",0.0928,0.851781189323638,0.1,0.85,"0.1","0.85","NS",NA
"PE O-34:0",0.0413,0.995250348509239,0,1,"0.0","1.00","NS",NA
"PE O-34:1",-0.258,0.678864053078952,-0.3,0.68,"-0.3","0.68","NS",NA
"PE O-34:2",0.0622,0.982532686833361,0.1,0.98,"0.1","0.98","NS",NA
"PE O-36:1",-0.0953,0.959131414497509,-0.1,0.96,"-0.1","0.96","NS",NA
"PE O-36:2",-0.0122,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PE O-36:3",-0.0617,0.893499778036102,-0.1,0.89,"-0.1","0.89","NS",NA
"PE O-36:4",0.0228,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PE O-36:5",-0.11,0.835442637825686,-0.1,0.84,"-0.1","0.84","NS",NA
"PE O-38:1",-0.0446,0.964071504866061,0,0.96,"-0.0","0.96","NS",NA
"PE O-38:3",-0.124,0.851781189323638,-0.1,0.85,"-0.1","0.85","NS",NA
"PE O-38:4",0.0385,0.995250348509239,0,1,"0.0","1.00","NS",NA
"PE O-38:5",0.024,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PE O-38:6",-0.108,0.820808634286453,-0.1,0.82,"-0.1","0.82","NS",NA
"PE O-40:4",-0.204,0.497266208322466,-0.2,0.5,"-0.2","0.50","NS",NA
"PE O-40:5",-0.122,0.851781189323638,-0.1,0.85,"-0.1","0.85","NS",NA
"PE O-40:6",-0.0861,0.897447277843379,-0.1,0.9,"-0.1","0.90","NS",NA
"PE(O-38:2)",0.0535,0.983273573225829,0.1,0.98,"0.1","0.98","NS",NA
"PE(O-40:2)",0.0341,0.995250348509239,0,1,"0.0","1.00","NS",NA
"PG 20:0",0.192,0.79154525417196,0.2,0.79,"0.2","0.79","NS",NA
"PG 34:1",0.0499,0.983273573225829,0,0.98,"0.0","0.98","NS",NA
"PG 34:4",-0.0557,0.983273573225829,-0.1,0.98,"-0.1","0.98","NS",NA
"PG 36:1",0.2,0.497266208322466,0.2,0.5,"0.2","0.50","NS",NA
"PI 32:1",-0.148,0.785936800015069,-0.1,0.79,"-0.1","0.79","NS",NA
"PI 34:0",0.0295,0.995250348509239,0,1,"0.0","1.00","NS",NA
"PI 34:2",0.027,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PI 36:0",-0.0528,0.983273573225829,-0.1,0.98,"-0.1","0.98","NS",NA
"PI 36:1",-0.279,0.783852927068135,-0.3,0.78,"-0.3","0.78","NS",NA
"PI 36:3",-0.000224,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PI 38:1",-0.181,0.703432525559224,-0.2,0.7,"-0.2","0.70","NS",NA
"PI 38:2",-0.276,0.626505494428752,-0.3,0.63,"-0.3","0.63","NS",NA
"PI 38:4",0.158,0.851781189323638,0.2,0.85,"0.2","0.85","NS",NA
"PI 40:4",-0.0162,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PI 40:5",-0.053,0.959131414497509,-0.1,0.96,"-0.1","0.96","NS",NA
"PI 40:6",-0.0762,0.924067761827192,-0.1,0.92,"-0.1","0.92","NS",NA
"PI O-34:1",0.0115,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PI O-36:1",-0.000669,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PI O-38:1",-0.0359,0.983273573225829,0,0.98,"-0.0","0.98","NS",NA
"PI O-38:2",-0.095,0.851781189323638,-0.1,0.85,"-0.1","0.85","NS",NA
"PI O-38:3",-0.0452,0.982532686833361,0,0.98,"-0.0","0.98","NS",NA
"PI O-38:4",0.0588,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PS 32:1",-0.053,0.912759279849117,-0.1,0.91,"-0.1","0.91","NS",NA
"PS 34:0",0.0665,0.978014236929333,0.1,0.98,"0.1","0.98","NS",NA
"PS 34:1",0.0901,0.991654595238165,0.1,0.99,"0.1","0.99","NS",NA
"PS 34:4",0.0754,0.978014236929333,0.1,0.98,"0.1","0.98","NS",NA
"PS 34:5",0.152,0.780977482685342,0.2,0.78,"0.2","0.78","NS",NA
"PS 36:0",-0.0546,0.983273573225829,-0.1,0.98,"-0.1","0.98","NS",NA
