"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","2/8","25/3974",0.08,39.74,8.7259752118737,0.00103966086274904,0.073676985596523,0.0571455843961951,"C4BPA/MAPK8",2,"pertussis",FALSE,FALSE,TRUE,FALSE
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","2/8","71/3974",0.028169014084507,13.9929577464789,4.96096137723811,0.00822076533818098,0.172095480259115,0.133481258926737,"BNIP3/MAPK8",2,"foxo signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","2/8","72/3974",0.0277777777777778,13.7986111111111,4.92168007670036,0.00844709352779476,0.172095480259115,0.133481258926737,"GSTA4/MAPK8",2,"fluid shear stress and atherosclerosis",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","2/8","78/3974",0.0256410256410256,12.7371794871795,4.70142480415641,0.00986426705471089,0.172095480259115,0.133481258926737,"BNIP3/MAPK8",2,"mitophagy - animal",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","2/8","83/3974",0.0240963855421687,11.9698795180723,4.53563616642391,0.0111217536867373,0.172095480259115,0.133481258926737,"MAPK8/TUBA4A",2,"apoptosis",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","2/8","101/3974",0.0198019801980198,9.83663366336634,4.03972414896669,0.0162063095738649,0.172095480259115,0.133481258926737,"MAPK8/TUBA4A",2,"tight junction",FALSE,FALSE,TRUE,TRUE
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/8","9/3974",0.111111111111111,55.1944444444444,7.30941043021684,0.0179905284381917,0.172095480259115,0.133481258926737,"GSTA4",1,"drug metabolism - cytochrome p450",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","2/8","114/3974",0.0175438596491228,8.71491228070175,3.75333809599672,0.020399622110478,0.172095480259115,0.133481258926737,"MAPK8/TUBA4A",2,"pathogenic escherichia coli infection",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","2/8","128/3974",0.015625,7.76171875,3.49208952140327,0.0253795386720936,0.172095480259115,0.133481258926737,"TUBA4A/UVRAG",2,"phagocytosis",FALSE,FALSE,TRUE,TRUE
NA,NA,"hsa04981","Folate transport and metabolism","1/8","13/3974",0.0769230769230769,38.2115384615385,6.03496563958462,0.0258949796718622,0.172095480259115,0.133481258926737,"FPGS",1,"folate transport and metabolism",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","1/8","13/3974",0.0769230769230769,38.2115384615385,6.03496563958462,0.0258949796718622,0.172095480259115,0.133481258926737,"GSTA4",1,"chemical carcinogenesis - dna adducts",FALSE,FALSE,TRUE,TRUE
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/8","14/3974",0.0714285714285714,35.4821428571429,5.80414953364089,0.0278623717856274,0.172095480259115,0.133481258926737,"GSTA4",1,"metabolism of xenobiotics by cytochrome p450",FALSE,FALSE,TRUE,TRUE
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","1/8","15/3974",0.0666666666666667,33.1166666666667,5.59643242295293,0.0298262861860608,0.172095480259115,0.133481258926737,"FPGS",1,"folate biosynthesis",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","2/8","143/3974",0.013986013986014,6.94755244755245,3.25295566539859,0.0312233745732075,0.172095480259115,0.133481258926737,"GSTA4/MAPK8",2,"chemical carcinogenesis - reactive oxygen species",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","2/8","148/3974",0.0135135135135135,6.71283783783784,3.18081340132297,0.0332834611972553,0.172095480259115,0.133481258926737,"BNIP3/MAPK8",2,"shigellosis",FALSE,FALSE,TRUE,TRUE
