"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-1483257","Phospholipid metabolism",106,20,3.012,2.2872,1.194,0.000354532301115428,3.45034419050314,0.886330752788571,0.0165796390624169,0.139293201959731,"GPAT4,GNPAT,AGPAT4,SACM1L,CHKA,DDHD1,ETNK1,HADHB,MIGA1,PTDSS1,PLEKHA3,INPP5K,GPD2,PTPMT1,AGPAT3,SBF1,LPGAT1,LPCAT1,MTMR12,HADHA","20880,4416,20885,17059,1937,19714,24649,4803,24741,9587,14338,33882,4456,26965,326,10542,28985,25718,18191,4801"
NA,"REACTOME pathway","R-HSA-1834941","STING mediated induction of host immune responses",9,5,0.753,6.7344,2.752,0.000358120203748205,3.44597117709241,0.895300509370512,0.0165796390624169,0.139293201959731,"PRKDC,XRCC5,TRIM21,XRCC6,STAT6","9413,12833,11312,4055,11368"
NA,"PANTHER Pathway H.sap","P02721","ATP synthesis",3,3,0.452,12.122,3.6,0.000559082245475244,3.25252429921792,1,0.0179049158208737,0.150427463838008,"ATP5F1C,ATP5F1A,ATP5F1B","833,823,830"
NA,"REACTOME pathway","R-HSA-1433617","Regulation of signaling by NODAL",3,3,0.452,12.122,3.6,0.000559082245475244,3.25252429921792,1,0.0179049158208737,0.150427463838008,"ACVR2A,ACVR2B,ACVR1B","173,174,172"
NA,"REACTOME pathway","R-HSA-435354","Zinc transporters",6,4,0.602,8.0813,3.015,0.000601605171581355,3.22068843907268,1,0.0179049158208737,0.150427463838008,"SLC39A14,SLC39A1,SLC39A7,SLC30A5","20858,12876,4927,19089"
NA,"REACTOME pathway","R-HSA-1430728","Metabolism",1162,125,18.825,1.304,0.383,0.000681187798266774,3.16673313991212,1,0.0189218832851882,0.158971477001379,"LPCAT1,SLC27A3,SLC25A21,CES3,TIMM21,UROS,NMRK1,SLC25A14,GNB4,SLC23A2,PDK2,TK2,MIGA1,BPHL,EPHX1,HADHB,TMEM177,SCAP,MTHFD1L,TXNDC11,SLC25A11,PECR,CLOCK,PLEKHA3,SLC25A15,PRKACG,PTPMT1,ABCB7,CHKA,SLC37A4,IMPA2,COQ5,SIRT3,MOCS3,UQCRC1,INPP5K,PLPP3,TRIB3,PTDSS1,THTPA,SLC25A17,PCCA,SBF1,NUDT8,ATP5F1C,SLC25A10,GPD2,L2HGDH,B4GALT7,CERS5,PDSS1,PYCR2,AAAS,ETNK1,MED17,SLC25A19,MED12,PHKA1,UGCG,NUDT19,CACNB3,EXT1,IDH3B,DDHD1,CDK19,GLCE,RDH11,GNPAT,AGPAT3,NUP155,VKORC1,BCKDK,PYCR1,SFXN4,ATP5F1A,CPT2,GK,FADS1,FAM120B,MLYCD,ACAD9,UQCRC2,MTMR12,SGPL1,SQOR,LPGAT1,ACSS3,ATP5MG,PDK1,SLC19A1,NDUFS7,ATP5PO,ECHS1,HADHA,SCD5,SACM1L,G6PC3,ACOT9,NSDHL,ACOX3,CHST12,SPTLC2,MCCC2,MED13,PHKA2,NAT1,ENTPD5,EXTL2,IDH3G,NUDT12,MED13L,LDLRAP1,UPP1,HSD17B12,SLC25A12,AGPAT4,NUP93,NUP37,SEC24B,ALDH18A1,GPAT4,ATP5F1B,CS,GLUD1,NDUFA9","25718,10997,14411,1865,25010,12592,26057,10984,20731,10973,8810,11831,24741,1094,3401,4803,28143,30634,21055,28030,10981,18281,2082,14338,10985,9382,26965,48,1937,4061,6051,28722,14931,15765,12585,33882,9229,16228,9587,18987,10987,8653,10542,8055,833,10980,4456,20499,930,23749,17759,30262,13666,24649,2375,14409,11957,8925,12524,32036,1403,3512,5385,19714,19338,17855,17964,4416,326,8063,23663,16902,9721,16088,823,2330,4289,3574,21109,7150,21497,12586,18191,10817,20390,28985,24723,14247,8809,10937,7714,850,3151,4801,21088,17059,24861,17152,13398,121,17423,11278,6937,22474,8926,7645,3367,3516,5386,18826,22962,18640,12576,18646,10982,20885,28958,29929,10704,9722,20880,830,2422,4335,7693"
NA,"REACTOME pathway","R-HSA-8949613","Cristae formation",26,8,1.205,3.7298,1.899,0.000840752076293933,3.0753320514925,1,0.0228465238123351,0.191944193929002,"ATP5MG,ATP5F1A,ATP5PO,MTX2,ATP5F1B,TMEM11,APOOL,ATP5F1C","14247,823,850,7506,830,16823,24009,833"
NA,"REACTOME pathway","R-HSA-9609507","Protein localization",114,20,3.012,2.1267,1.089,0.000936687105363118,3.02840545832037,1,0.0249776391315945,0.209848677581965,"ACOX3,TIMM21,ATP5F1B,PMPCB,TYSND1,PEX1,MTX2,GNPAT,PECR,CS,SLC25A17,NUDT19,PEX13,MLYCD,ATP5F1A,SLC25A12,TIMM50,IDH3G,PITRM1,TIMM23","121,25010,830,9119,28531,8850,7506,4416,18281,2422,10987,32036,8855,7150,823,10982,23656,5386,17663,17312"
NA,"KEGG Pathway H.sap","path:hsa01100","Metabolic pathways",849,95,14.307,1.3564,0.44,0.000939159231347954,3.02726076829504,1,0.0249776391315945,0.209848677581965,"MARS2,UGCG,PYCR2,SIRT3,EXTL2,ALG1,SQOR,ALG8,ATP5PO,ALDH18A1,GPD2,MGAT4B,CERS5,RPN1,NMRK1,UQCRC2,ALG11,PIGU,FPGT,NUDT12,AGPAT4,NDUFA9,PLPP3,IDH3B,ACSS3,TK2,DPAGT1,ABHD16A,INPP5K,GLCE,GK,CHKA,ALG3,ATP5F1B,PTEN,STT3A,LPCAT1,UPP1,STT3B,SMYD3,FADS1,ATP6V0A2,L2HGDH,GALNT16,ATP6V0A1,RGN,HADHA,MLYCD,CS,SGPL1,DGKE,UROS,AGPAT3,PEDS1,GCAT,THTPA,MTHFD1L,NDUFS7,B4GALT7,IDH3G,G6PC3,ACOX3,DPM1,ATP5MG,EXT1,RDH11,GLUD1,GALNT10,ALG2,ATP5F1C,PYCR1,MCCC2,VKORC1,PIGG,UQCRC1,ECHS1,ALG9,LIPT2,HSD17B12,GPAT4,NAT1,PCCA,HADHB,ETNK1,SPTLC2,COQ5,NSDHL,ENTPD5,SACM1L,GGCX,ASH1L,SCD5,ATP5F1A,PTDSS1,IMPA2","25133,12524,30262,14931,3516,18294,20390,23161,850,9722,4456,7048,23749,10381,26057,12586,32456,15791,3825,18826,20885,7693,9229,5385,24723,11831,2995,13921,33882,17855,4289,1937,23056,830,9588,6172,25718,12576,30611,15513,3574,18481,20499,23233,865,9989,4801,7150,2422,10817,2852,12592,326,16735,4188,18987,21055,7714,930,5386,24861,121,3005,14247,3512,17964,4335,19873,23159,833,9721,6937,23663,25985,12585,3151,15672,37216,18646,20880,7645,8653,4803,24649,11278,28722,13398,3367,17059,4247,19088,21088,823,9587,6051"
NA,"KEGG Pathway H.sap","md:hsa_M00158","F-type ATPase, eukaryotes",11,5,0.753,5.51,2.462,0.00114147250561145,2.94253454480015,1,0.0279772672943983,0.23504993859329,"ATP5F1B,ATP5MG,ATP5F1C,ATP5F1A,ATP5PO","830,14247,833,823,850"
NA,"KEGG Pathway H.sap","path:hsa02010","ABC transporters",11,5,0.753,5.51,2.462,0.00114147250561145,2.94253454480015,1,0.0279772672943983,0.23504993859329,"TAP1,ABCB1,ABCB7,ABCB10,ABCA3","43,40,48,41,33"
NA,"REACTOME pathway","R-HSA-428643","Organic anion transport by SLC5/17/25 transporters",4,3,0.452,9.0915,3.185,0.00209853876405641,2.67808300412211,1,0.0340671877281884,0.286214171644993,"SLC25A11,SLC25A10,SLC25A1","10981,10980,10979"
NA,"REACTOME pathway","R-HSA-442380","Zinc influx into cells by the SLC39 gene family",4,3,0.452,9.0915,3.185,0.00209853876405641,2.67808300412211,1,0.0340671877281884,0.286214171644993,"SLC39A14,SLC39A1,SLC39A7","20858,12876,4927"
NA,"REACTOME pathway","R-HSA-77310","Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA",4,3,0.452,9.0915,3.185,0.00209853876405641,2.67808300412211,1,0.0340671877281884,0.286214171644993,"ECHS1,HADHA,HADHB","3151,4801,4803"
NA,"KEGG Pathway H.sap","md:hsa_M00015","Proline biosynthesis, glutamate => proline",4,3,0.452,9.0915,3.185,0.00209853876405641,2.67808300412211,1,0.0340671877281884,0.286214171644993,"PYCR2,PYCR1,ALDH18A1","30262,9721,9722"
NA,"REACTOME pathway","R-HSA-1592230","Mitochondrial biogenesis",65,13,1.958,2.4244,1.278,0.00215588582653958,2.66637424265821,1,0.034772352040961,0.292138582584462,"ATP5PO,TFB1M,TMEM11,ATP5F1B,POLG2,GLUD1,APOOL,ATP5MG,ATP5F1C,SIRT3,POLRMT,ATP5F1A,MTX2","850,17037,16823,830,9180,4335,24009,14247,833,14931,9200,823,7506"
NA,"REACTOME pathway","R-HSA-8949215","Mitochondrial calcium ion transport",18,6,0.904,4.0407,2.015,0.00241342978718259,2.61736533139375,1,0.0380983064919472,0.320081461395392,"PHB2,PMPCB,STOML2,YME1L1,MICU2,PHB1","30306,9119,14559,12843,31830,8912"
NA,"KEGG Pathway H.sap","md:hsa_M00072","N-glycosylation by oligosaccharyltransferase",8,4,0.602,6.061,2.6,0.0024535309380814,2.61020846136217,1,0.0380983064919472,0.320081461395392,"STT3A,KRTCAP2,STT3B,RPN1","6172,28942,30611,10381"
NA,"REACTOME pathway","R-HSA-163210","Formation of ATP by chemiosmotic coupling",13,5,0.753,4.6623,2.221,0.00276592544316234,2.55815953068354,1,0.0416555036620834,0.349967117045977,"ATP5PO,ATP5F1B,ATP5MG,ATP5F1C,ATP5F1A","850,830,14247,833,823"
NA,"REACTOME pathway","R-HSA-8978868","Fatty acid metabolism",83,15,2.259,2.1907,1.131,0.00291865376925731,2.53481742094874,1,0.0436924216954688,0.367080205812965,"FADS1,PECR,SLC25A17,HADHA,ACOT9,PCCA,SCD5,CPT2,SLC27A3,HADHB,HSD17B12,ACOX3,NUDT19,ECHS1,MLYCD","3574,18281,10987,4801,17152,8653,21088,2330,10997,4803,18646,121,32036,3151,7150"
NA,"KEGG Pathway H.sap","path:hsa00561","Glycerolipid metabolism",25,7,1.054,3.3942,1.763,0.00324030118468502,2.4894146204207,1,0.0482187676292414,0.405108127646426,"PLPP3,GPAT4,AGPAT3,AGPAT4,GK,ABHD16A,DGKE","9229,20880,326,20885,4289,13921,2852"
NA,"REACTOME pathway","R-HSA-1268020","Mitochondrial protein import",54,11,1.657,2.4693,1.304,0.00398576764615196,2.39948802247831,1,0.0521446909791409,0.438091622160224,"PMPCB,ATP5F1A,TIMM21,IDH3G,PITRM1,ATP5F1B,TIMM50,SLC25A12,MTX2,CS,TIMM23","9119,823,25010,5386,17663,830,23656,10982,7506,2422,17312"
NA,"REACTOME pathway","R-HSA-77348","Beta oxidation of octanoyl-CoA to hexanoyl-CoA",5,3,0.452,7.2732,2.863,0.00492447958026604,2.30763965904677,1,0.0528377637367601,0.443914446362633,"HADHB,ECHS1,HADHA","4803,3151,4801"
NA,"REACTOME pathway","R-HSA-77350","Beta oxidation of hexanoyl-CoA to butanoyl-CoA",5,3,0.452,7.2732,2.863,0.00492447958026604,2.30763965904677,1,0.0528377637367601,0.443914446362633,"HADHB,ECHS1,HADHA","4803,3151,4801"
NA,"KEGG Pathway H.sap","md:hsa_M00059","Glycosaminoglycan biosynthesis, heparan sulfate backbone",5,3,0.452,7.2732,2.863,0.00492447958026604,2.30763965904677,1,0.0528377637367601,0.443914446362633,"GLCE,EXT1,EXTL2","17855,3512,3516"
NA,"REACTOME pathway","R-HSA-446193","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",41,9,1.355,2.6609,1.412,0.00531995737051755,2.2740918477469,1,0.0565952911757186,0.475483169086551,"ALG1,ALG2,DPM1,ALG8,DPAGT1,ALG11,ALG3,ALG9,FPGT","18294,23159,3005,23161,2995,32456,23056,15672,3825"
NA,"REACTOME pathway","R-HSA-9033241","Peroxisomal protein import",34,8,1.205,2.8522,1.512,0.00542345632991213,2.2657238524657,1,0.0574518679016115,0.482679665610065,"PECR,PEX1,GNPAT,TYSND1,PEX13,MLYCD,NUDT19,ACOX3","18281,8850,4416,28531,8855,7150,32036,121"
NA,"REACTOME pathway","R-HSA-8964539","Glutamate and glutamine metabolism",10,4,0.602,4.8488,2.278,0.00643793881202243,2.19125315528745,1,0.0633655394884098,0.53236315073072,"PYCR1,ALDH18A1,GLUD1,PYCR2","9721,9722,4335,30262"
NA,"KEGG Pathway H.sap","md:hsa_M00089","Triacylglycerol biosynthesis",10,4,0.602,4.8488,2.278,0.00643793881202243,2.19125315528745,1,0.0633655394884098,0.53236315073072,"AGPAT3,GPAT4,PLPP3,AGPAT4","326,20880,9229,20885"
NA,"KEGG Pathway H.sap","path:hsa03450","Non-homologous end-joining",10,4,0.602,4.8488,2.278,0.00643793881202243,2.19125315528745,1,0.0633655394884098,0.53236315073072,"XRCC5,PRKDC,XRCC6,POLL","12833,9413,4055,9184"
NA,"PANTHER Pathway H.sap","P02768","Proline biosynthesis",2,2,0.301,12.122,3.6,0.00679597406244604,2.16774828733066,1,0.0655982052359656,0.551120806413819,"PYCR2,PYCR1","30262,9721"
NA,"REACTOME pathway","R-HSA-390918","Peroxisomal lipid metabolism",16,5,0.753,3.7881,1.921,0.00762487767491703,2.11776711926441,1,0.0724798258071961,0.608936477818363,"MLYCD,ACOX3,PECR,SLC25A17,NUDT19","7150,121,18281,10987,32036"
NA,"REACTOME pathway","R-HSA-9675135","Diseases of DNA repair",29,7,1.054,2.926,1.549,0.00788035052393566,2.10345446433464,1,0.0740634447738314,0.622241191854438,"OGG1,TOP3A,ATR,RFC3,PALB2,DNA2,RFC5","8125,11992,882,9971,26144,2939,9973"
NA,"REACTOME pathway","R-HSA-446203","Asparagine N-linked glycosylation",202,27,4.066,1.6203,0.696,0.00821095905179426,2.08560611369948,1,0.0755949759354188,0.635108292193323,"ALG9,RPN1,KDELR1,TRAPPC9,DPM1,SEC22A,ALG8,STT3B,F5,MARCHF6,EDEM3,TUBA4A,TMEM115,ALG2,COG1,DERL2,DERL1,ALG11,STT3A,SEC24B,COG3,FPGT,MGAT4B,TBC1D20,DPAGT1,ALG3,ALG1","15672,10381,6304,30832,3005,20260,23161,30611,3542,30550,16787,12407,30055,23159,6545,17943,28454,32456,6172,10704,18619,3825,7048,16133,2995,23056,18294"
NA,"REACTOME pathway","R-HSA-196854","Metabolism of vitamins and cofactors",102,16,2.41,1.9015,0.927,0.00896734782363041,2.04733598458992,1,0.0755949759354188,0.635108292193323,"PCCA,NMRK1,PDSS1,VKORC1,MOCS3,COQ5,SLC19A1,SLC25A19,MTHFD1L,THTPA,RDH11,NUDT8,SLC23A2,MCCC2,LDLRAP1,NUDT12","8653,26057,17759,23663,15765,28722,10937,14409,21055,18987,17964,8055,10973,6937,18640,18826"
NA,"KEGG Pathway H.sap","path:hsa04146","Peroxisome",52,10,1.506,2.3312,1.221,0.00901176559784437,2.04519011309631,1,0.0755949759354188,0.635108292193323,"MPV17L2,MLYCD,PECR,NUDT19,PEX1,SLC25A17,NUDT12,GNPAT,PEX13,ACOX3","28177,7150,18281,32036,8850,10987,18826,4416,8855,121"
NA,"REACTOME pathway","R-HSA-77346","Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",6,3,0.452,6.061,2.6,0.00924735398895074,2.03398251724897,1,0.0755949759354188,0.635108292193323,"HADHB,ECHS1,HADHA","4803,3151,4801"
NA,"REACTOME pathway","R-HSA-9840373","Cellular response to mitochondrial stress",6,3,0.452,6.061,2.6,0.00924735398895074,2.03398251724897,1,0.0755949759354188,0.635108292193323,"YME1L1,PHB2,STOML2","12843,30306,14559"
NA,"KEGG Pathway H.sap","md:hsa_M00085","Fatty acid elongation in mitochondria",6,3,0.452,6.061,2.6,0.00924735398895074,2.03398251724897,1,0.0755949759354188,0.635108292193323,"HADHA,HADHB,ECHS1","4801,4803,3151"
NA,"REACTOME pathway","R-HSA-1181150","Signaling by NODAL",11,4,0.602,4.408,2.14,0.00946449098711443,2.02390273800571,1,0.0755949759354188,0.635108292193323,"ACVR2B,ACVR1B,PCSK6,ACVR2A","174,172,8569,173"
NA,"KEGG Pathway H.sap","md:hsa_M00087","beta-Oxidation",11,4,0.602,4.408,2.14,0.00946449098711443,2.02390273800571,1,0.0755949759354188,0.635108292193323,"HADHB,ECHS1,HADHA,ACOX3","4803,3151,4801,121"
NA,"KEGG Pathway H.sap","path:hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",11,4,0.602,4.408,2.14,0.00946449098711443,2.02390273800571,1,0.0755949759354188,0.635108292193323,"EXTL2,GLCE,B4GALT7,EXT1","3516,17855,930,3512"
NA,"REACTOME pathway","R-HSA-9013148","CDC42 GTPase cycle",70,12,1.807,2.0781,1.055,0.0112558838194021,1.94862039823615,1,0.0852718471166828,0.716408154434933,"FGD1,SHKBP1,TIAM1,ABR,VANGL1,MYO9B,IQGAP3,FARP1,STOM,SYDE1,TFRC,ARHGEF26","3663,19214,11805,81,15512,7609,20669,3591,3383,25824,11763,24490"
NA,"REACTOME pathway","R-HSA-9675136","Diseases of DNA Double-Strand Break Repair",24,6,0.904,3.0305,1.6,0.0114334850339319,1.94182137237697,1,0.0860955198338243,0.723328209190382,"RFC5,DNA2,TOP3A,RFC3,PALB2,ATR","9973,2939,11992,9971,26144,882"
NA,"REACTOME pathway","R-HSA-9701190","Defective homologous recombination repair (HRR) due to BRCA2 loss of function",24,6,0.904,3.0305,1.6,0.0114334850339319,1.94182137237697,1,0.0860955198338243,0.723328209190382,"DNA2,TOP3A,RFC3,PALB2,ATR,RFC5","2939,11992,9971,26144,882,9973"
NA,"REACTOME pathway","R-HSA-196849","Metabolism of water-soluble vitamins and cofactors",71,12,1.807,2.0488,1.035,0.0125633008190187,1.90089624123973,1,0.0936101387479936,0.786461991905506,"LDLRAP1,SLC25A19,SLC23A2,NUDT12,MOCS3,PCCA,MCCC2,MTHFD1L,NUDT8,NMRK1,SLC19A1,THTPA","18640,14409,10973,18826,15765,8653,6937,21055,8055,26057,10937,18987"
NA,"REACTOME pathway","R-HSA-3270619","IRF3-mediated induction of type I IFN",7,3,0.452,5.1951,2.377,0.0151987637026602,1.81819173698608,1,0.0989502845225276,0.831327021902011,"PRKDC,XRCC5,XRCC6","9413,12833,4055"
NA,"KEGG Pathway H.sap","path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",7,3,0.452,5.1951,2.377,0.0151987637026602,1.81819173698608,1,0.0989502845225276,0.831327021902011,"GGCX,VKORC1,COQ5","4247,23663,28722"
