"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"Direct GO Biological Processes","GO:0001843","neural tube closure",53,10,1.506,2.2872,1.194,0.0103116459088013,1.98667200861954,1,0.0785948621097664,0.660311720878742,"SEC24B,IFT57,FZD6,MTHFD1L,TSC2,RGMA,MED12,IFT172,WNT5A,VANGL2","10704,17367,4044,21055,12363,30308,11957,30391,12784,15511","neural tube closure","FZD6;IFT172;IFT57;MED12;MTHFD1L;RGMA;SEC24B;TSC2;VANGL2;WNT5A",10
NA,"Direct GO Biological Processes","GO:0010508","positive regulation of autophagy",63,10,1.506,1.9241,0.944,0.0322783463990801,1.49108872203391,1,0.147524435096344,1,"AMBRA1,TRIM23,TRIM21,KAT5,FLCN,BNIP3,SYK,UFL1,CDK16,ULK1","25990,660,11312,5275,27310,1084,11491,23039,8749,12558","positive regulation of autophagy","AMBRA1;BNIP3;CDK16;FLCN;KAT5;SYK;TRIM21;TRIM23;UFL1;ULK1",10
NA,"Direct GO Biological Processes","GO:0006488","dolichol-linked oligosaccharide biosynthetic process",13,8,1.205,7.4597,2.899,1.82365963764651e-06,5.73905621386134,0.00455914909411627,0.000350703776470482,0.00294642433288425,"DPM1,ALG8,ALG11,ALG3,ALG9,DPAGT1,ALG1,ALG2","3005,23161,32456,23056,15672,2995,18294,23159","dolichol linked oligosaccharide biosynthetic process","ALG1;ALG11;ALG2;ALG3;ALG8;ALG9;DPAGT1;DPM1",8
NA,"Direct GO Biological Processes","GO:0071363","cellular response to growth factor stimulus",43,8,1.205,2.2553,1.173,0.0225037947176429,1.64774424251196,1,0.120580348712543,1,"BMPR2,SLC4A7,ACVR2B,ERBB2,ACVR1B,BMPR1A,PPP2R5B,ACVR2A","1078,11033,174,3430,172,1076,9310,173","cellular response to growth factor stimulus","ACVR1B;ACVR2A;ACVR2B;BMPR1A;BMPR2;ERBB2;PPP2R5B;SLC4A7",8
NA,"Direct GO Biological Processes","GO:0030324","lung development",53,8,1.205,1.8297,0.872,0.0671434187723997,1.17299654935271,1,0.227088368649671,1,"ACVR2B,GLI2,FOXP2,BMPR1A,NFIB,ABCA3,BMPR2,WNT5A","174,4318,13875,1076,7785,33,1078,12784","lung development","ABCA3;ACVR2B;BMPR1A;BMPR2;FOXP2;GLI2;NFIB;WNT5A",8
NA,"Direct GO Biological Processes","GO:0060071","Wnt signaling pathway, planar cell polarity pathway",17,7,1.054,4.9914,2.319,0.000234880359884907,3.62915329633525,0.587200899712268,0.0119836918308626,0.100680527491302,"WNT5A,VANGL2,DVL3,FZD6,VANGL1,TIAM1,MED12","12784,15511,3087,4044,15512,11805,11957","wnt signaling pathway planar cell polarity pathway","DVL3;FZD6;MED12;TIAM1;VANGL1;VANGL2;WNT5A",7
NA,"Direct GO Biological Processes","GO:0033554","cellular response to stress",30,7,1.054,2.8285,1.5,0.00956503326699144,2.01931351516667,1,0.07591296243644,0.637779843590821,"PDK2,SIRT3,ULK1,SLC7A11,PDK1,KAT5,DERL1","8810,14931,12558,11059,8809,5275,28454","cellular response to stress","DERL1;KAT5;PDK1;PDK2;SIRT3;SLC7A11;ULK1",7
NA,"Direct GO Biological Processes","GO:0006303","double-strand break repair via nonhomologous end joining",34,7,1.054,2.4957,1.319,0.0189763146745952,1.72178812657114,1,0.112820595412106,0.94785790708671,"XRCC5,POLL,XRCC6,DCLRE1A,MBTD1,PRKDC,KAT5","12833,9184,4055,17660,19866,9413,5275","double strand break repair via nonhomologous end joining","DCLRE1A;KAT5;MBTD1;POLL;PRKDC;XRCC5;XRCC6",7
NA,"Direct GO Biological Processes","GO:0000423","mitophagy",38,7,1.054,2.233,1.159,0.033489160498422,1.47509573915684,1,0.151947189194292,1,"PHB2,BNIP3,OGT,AMBRA1,NIPSNAP2,NIPSNAP1,ULK1","30306,1084,8127,25990,4179,7827,12558","mitophagy","AMBRA1;BNIP3;NIPSNAP1;NIPSNAP2;OGT;PHB2;ULK1",7
NA,"Direct GO Biological Processes","GO:0030509","BMP signaling pathway",38,7,1.054,2.233,1.159,0.033489160498422,1.47509573915684,1,0.151947189194292,1,"ACVR2A,BMPR2,RGMA,ACVR2B,EXT1,BMPR1A,WNT5A","173,1078,30308,174,3512,1076,12784","bmp signaling pathway","ACVR2A;ACVR2B;BMPR1A;BMPR2;EXT1;RGMA;WNT5A",7
