"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-9013148","CDC42 GTPase cycle",70,12,1.807,2.0781,1.055,0.0112558838194021,1.94862039823615,1,0.0852718471166828,0.716408154434933,"FGD1,SHKBP1,TIAM1,ABR,VANGL1,MYO9B,IQGAP3,FARP1,STOM,SYDE1,TFRC,ARHGEF26","3663,19214,11805,81,15512,7609,20669,3591,3383,25824,11763,24490","cdc42 gtpase cycle","ABR;ARHGEF26;FARP1;FGD1;IQGAP3;MYO9B;SHKBP1;STOM;SYDE1;TFRC;TIAM1;VANGL1",12
NA,"REACTOME pathway","R-HSA-9837999","Mitochondrial protein degradation",78,12,1.807,1.8649,0.899,0.0252129203603555,1.59837684797954,1,0.125064089089065,1,"UQCRC2,YME1L1,ATP5F1C,GLUD1,LONP1,ATP5F1A,ATP5PO,MICU2,PDK1,ATP5MG,ATP5F1B,CS","12586,12843,833,4335,9479,823,850,31830,8809,14247,830,2422","mitochondrial protein degradation","ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;CS;GLUD1;LONP1;MICU2;PDK1;UQCRC2;YME1L1",12
NA,"KEGG Pathway H.sap","path:hsa04150","mTOR signaling pathway",94,12,1.807,1.5475,0.63,0.0846358239064222,1.07244577370138,1,0.24819043776326,1,"FLCN,TSC2,CASTOR2,WDR59,STRADA,ULK1,FZD6,SLC38A9,SKP2,DVL3,WNT5A,PTEN","27310,12363,37073,25706,30172,12558,4044,26907,10901,3087,12784,9588","mtor signaling pathway","CASTOR2;DVL3;FLCN;FZD6;PTEN;SKP2;SLC38A9;STRADA;TSC2;ULK1;WDR59;WNT5A",12
NA,"KEGG Pathway H.sap","path:hsa04146","Peroxisome",52,10,1.506,2.3312,1.221,0.00901176559784437,2.04519011309631,1,0.0755949759354188,0.635108292193323,"MPV17L2,MLYCD,PECR,NUDT19,PEX1,SLC25A17,NUDT12,GNPAT,PEX13,ACOX3","28177,7150,18281,32036,8850,10987,18826,4416,8855,121","peroxisome","ACOX3;GNPAT;MLYCD;MPV17L2;NUDT12;NUDT19;PECR;PEX1;PEX13;SLC25A17",10
NA,"KEGG Pathway H.sap","path:hsa04020","Calcium signaling pathway",61,10,1.506,1.9872,0.991,0.0263848682167198,1.57864507063199,1,0.130360020833596,1,"PHKA1,SLC25A6,FGFR3,PHKA2,SLC25A4,MCU,ATP2A2,PRKACG,SLC25A5,ERBB2","8925,10992,3690,8926,10990,23526,812,9382,10991,3430","calcium signaling pathway","ATP2A2;ERBB2;FGFR3;MCU;PHKA1;PHKA2;PRKACG;SLC25A4;SLC25A5;SLC25A6",10
NA,"REACTOME pathway","R-HSA-2559583","Cellular Senescence",67,10,1.506,1.8093,0.855,0.0467173977437897,1.33052135632776,1,0.184799832847269,1,"KDM6B,ANAPC4,CDC16,CABIN1,FOS,ANAPC7,SCMH1,POT1,HIRA,ANAPC16","29012,19990,1720,24187,3796,17380,19003,17284,4916,26976","cellular senescence","ANAPC16;ANAPC4;ANAPC7;CABIN1;CDC16;FOS;HIRA;KDM6B;POT1;SCMH1",10
NA,"REACTOME pathway","R-HSA-9675135","Diseases of DNA repair",29,7,1.054,2.926,1.549,0.00788035052393566,2.10345446433464,1,0.0740634447738314,0.622241191854438,"OGG1,TOP3A,ATR,RFC3,PALB2,DNA2,RFC5","8125,11992,882,9971,26144,2939,9973","diseases of dna repair","ATR;DNA2;OGG1;PALB2;RFC3;RFC5;TOP3A",7
NA,"REACTOME pathway","R-HSA-9013409","RHOJ GTPase cycle",38,7,1.054,2.233,1.159,0.033489160498422,1.47509573915684,1,0.151947189194292,1,"SYDE1,STOM,SLC4A7,IQGAP3,NIPSNAP2,VANGL1,TFRC","25824,3383,11033,20669,4179,15512,11763","rhoj gtpase cycle","IQGAP3;NIPSNAP2;SLC4A7;STOM;SYDE1;TFRC;VANGL1",7
NA,"REACTOME pathway","R-HSA-9013026","RHOB GTPase cycle",42,7,1.054,2.0203,1.015,0.0539687166994035,1.26785790872734,1,0.202883675176301,1,"ABR,RTKN,IQGAP3,STOM,TFRC,MYO9B,VANGL1","81,10466,20669,3383,11763,7609,15512","rhob gtpase cycle","ABR;IQGAP3;MYO9B;RTKN;STOM;TFRC;VANGL1",7
NA,"REACTOME pathway","R-HSA-9013407","RHOH GTPase cycle",27,6,0.904,2.6938,1.43,0.0203641025438552,1.69113472473044,1,0.118121244453916,0.992391106797449,"NIPSNAP2,VANGL1,TFRC,FAM91A1,STOM,SLC4A7","4179,15512,11763,26306,3383,11033","rhoh gtpase cycle","FAM91A1;NIPSNAP2;SLC4A7;STOM;TFRC;VANGL1",6
