"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","KEGG Pathway H.sap","path:hsa05417","Lipid and atherosclerosis","101","3","0.555","0.4419","-1.178","0.970116064078494","0.0131763039054599","1","0.999999999999986","1","CYBA,TANK,CD40","2577,11562,11919"
"","REACTOME pathway","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","145","5","0.924","0.513","-0.963","0.970808323533364","0.0128665087625243","1","0.999999999999986","1","TRIM21,TRAF7,UBE2G2,RNF4,PJA1","11312,20456,12483,10067,16648"
"","Direct GO Biological Processes","GO:0007411","axon guidance","78","2","0.37","0.3815","-1.39","0.97142692950962","0.0125898613578148","1","0.999999999999986","1","NKX2-1,KIAA1755","11825,29372"
"","REACTOME pathway","R-HSA-5619115","Disorders of transmembrane transporters","78","2","0.37","0.3815","-1.39","0.97142692950962","0.0125898613578148","1","0.999999999999986","1","ABCD4,NUP62","68,8066"
"","REACTOME pathway","R-HSA-9837999","Mitochondrial protein degradation","78","2","0.37","0.3815","-1.39","0.97142692950962","0.0125898613578148","1","0.999999999999986","1","NDUFV3,CHCHD2","7719,21645"
"","KEGG Pathway H.sap","path:hsa04137","Mitophagy - animal","78","2","0.37","0.3815","-1.39","0.97142692950962","0.0125898613578148","1","0.999999999999986","1","AMFR,BCL2L13","463,17164"
"","KEGG Pathway H.sap","path:hsa04621","NOD-like receptor signaling pathway","78","2","0.37","0.3815","-1.39","0.97142692950962","0.0125898613578148","1","0.999999999999986","1","TANK,CYBA","11562,2577"
"","Direct GO Cellular Component","GO:0098794","postsynapse","146","5","0.924","0.5095","-0.973","0.972113781256129","0.0122829000123069","1","0.999999999999986","1","ZDHHC5,ICAM5,BCL11A,LATS1,DOCK1","18472,5348,13221,6514,2987"
"","Direct GO Biological Processes","GO:0043066","negative regulation of apoptotic process","265","11","2.033","0.6176","-0.695","0.972833328054344","0.0119615594301422","1","0.999999999999986","1","ZNF830,PRKDC,ANKLE2,PIDD1,BARD1,RARB,NUP62,MIEN1,FXN,SON,PHIP","28291,9413,29101,16491,952,9865,8066,28230,3951,11183,15673"
"","PANTHER Pathway H.sap","P00029","Huntington disease","79","2","0.37","0.3767","-1.409","0.973072794497302","0.0118546694274876","1","0.999999999999986","1","NCOR2,NCOR1","7673,7672"
"","Direct GO Cellular Component","GO:0034774","secretory granule lumen","79","2","0.37","0.3767","-1.409","0.973072794497302","0.0118546694274876","1","0.999999999999986","1","S100A8,CTSH","10498,2535"
"","KEGG Pathway H.sap","path:hsa04820","Cytoskeleton in muscle cells","104","3","0.555","0.4292","-1.22","0.974527498517335","0.0112059017635526","1","0.999999999999986","1","LMOD1,PLEC,COL4A6","6647,9069,2208"
"","DRSC COMPLEAT2 protein complex (literature)","HsC08358","cullin-RING ubiquitin ligase complex","104","3","0.555","0.4292","-1.22","0.974527498517335","0.0112059017635526","1","0.999999999999986","1","TRIM21,TMEM183A,ERCC8","11312,20173,3439"
